status_id;comment_id;Clinton;Trump;comment_message;page
889307941125736_1273369036052956;1273369036052956_1206527759408821;S;N;OMG so touching and so real. Hillary has what it takes. VOTE now Democratic.;Clinton
889307941125736_1320209508035575;1320209508035575_678499028982644;S;N;The word in Heaven is that God and Jesus are planning on booting the Holy Spirit to make room for her. God and J.C. approve and #ImWithHer;Clinton
889307941125736_1137710139618847;1137710139618847_884333888364863;O;O;We need to stop both of them f*** Hillary and Trump;Clinton
889307941125736_1306282039428322;1306282039428322_1334327026598817;N;N;I cannot believe you are with some one who is so corrupt like this.;Clinton
889307941125736_1190045934385267;1190045934385267_1190069931049534;O;N;Lol. A failed SOS and criminal for president and a impeached president and adulterer for nations first man. PRICELESS;Clinton
889307941125736_1319379558118570;1319379558118570_692518774255716;O;S;Trumpsters today is the day, everyone must vote, do not sit it out Hillary said last night she will shut down the dissenting voice, as she stood next to lady Gaga in a natzi uniform Every sign is there, freedom only rings if we use our vote. THE ENEMY IS AT THE GATES WE MUST STAND TOGETHER PRAY FOR OUR COUNTRY AND END 8 YEARS OF MORAL DECLINE AND CORRUPTION.IF WE FAIL OUR COUNTRY WILL NEVER HAVE THE CHANCE TO TURN IT AROUND WE NEED A PRESIDENT THAT LOVES GOD, AMERICA,AND FREEDOM AND RESPECTS OUR TROOPS AND POLICE, AND VALUES THE UNBORN GET OUT AND VOTE;Clinton
889307941125736_1158234167566444;1158234167566444_1738244793131482;S;N;More Clinton hypocrisy. How her supporters can write off her corrupt and unethical behavior is mind boggling to say the least. Both of them are disgusting. #feelthebern;Clinton
889307941125736_1318726841517175;1318726841517175_1669368833302270;O;S;"EVIL now has a name and that name is Hillary Clinton. The most corrupt and terrible person on the face of this earth. So downright disgusting and horrible. A despicable human being. She is controlled by spiritual demons in her life. All she knows is how to lie and be corrupt and greedy. She will say anything to get what she wants. She will do anything to get what she wants. What she wants is MONEY and POWER. She cares about nothing else. She will go to great lengths to gain support and gives nothing in return. All that she plans to do, is continue down the same path Obama has started with the same policies as Obama. She does not have the temperament to be President. She does not have the skills to be President. She is a common criminal who has been corrupt and greedy for 30+ years. She thinks she can hire people to get her support but it won't work. The American people are beginning to see that she is a LIAR. The sooner she faces JUSTICE the better. It's very sad how she has the few supporters she has, not enough to win, but still sad nonetheless. She is playing the ""first woman president card"" just like OBAMA played the ""first black president card"" and we all see how that turned out. Obama ended up being the worst president the United States has ever seen. Obamacare a disaster. His executive orders a disaster. The people of this country, who still love America are sick and tired of the Liberal Radical Democrats and the corruption they offer. That's why Donald Trump will be a REFRESHING change for our country! WHY? Because he is not your typical ""bought and paid for"" politician like Barrack Obama or Hillary Clinton. The Liberals are totally scared and upset, because Donald is going to make major changes and eliminate the corruption of the past 8 years and that's a GOOD THING! The liberals will try all sorts of tactics to deceive people such as: fake polls, personal attack ads, celebrity endorsements, Obama flying all over the United States in the Presidential Jet burning up my tax payer dollars to campaign for her when he should be doing his job. Buy our prayers will be finally answered on November 8th, when Donald Trump wins and becomes our next President Of The United States Of America. Just be CALM people, get out and VOTE and DON'T let this EVIL WITCH sway you in your VOTE! Only a couple more days and this will be finally over with a RED VICTORY! God Bless America and the People Of The United States Of America. (PLEASE LIKE AND SHARE!)";Clinton
889307941125736_964342740288922;964342740288922_964514800271716;O;N;"""I'm a Hillary Clinton fan. But I hope she bows out with grace... Reality must be looked in the eye. Clinton is a hugely divisive figure, including within her own party – and not primarily because she is a woman."" URL";Clinton
889307941125736_1111176682272193;1111176682272193_1111238802265981;O;S;Orlando - 66 year old poll volunteer beaten down in the street after confronting men destroying Trump signs. Dalton, GA - Three men pull gun on homeowner for Trump sign in his yard. Stopped by armed neighbor. Jacksonville - Trump campaign office windows smashed four times in two weeks. A family was surrounded and harrassed after reporting you g adults tearing down campaign signs (guess whose). There are attacks all over the country like these, all aimed at citizens over supporting Trump. REAL violence by your ranks against real people. And you bigots obsess over one old guy losing his temper at a jerk INTENTIONALLY disrupting an event. BLM leader Tef Poe has threated riots over Trump being nominated. Says blacks will trash cities all along the East coast. Where is your outrage? Democrats have shown their true colors in this election. You are behaving like 3rd world animals.;Clinton
889307941125736_975201252536404;975201252536404_975253115864551;S;N;you are an amazing person - you are the only candidate right for the presidency you are the right woman for the job;Clinton
889307941125736_1070389586350903;1070389586350903_1070463296343532;S;N;How does Hillary expect to capture the conservative independents like myself? We make up about 1/6th of bernicrats. That's a significant percentage of people who will not vote Hillary in November. It s a fallacy to think the Clinton campaign will convert more than 70- 80% of bernicrats in November As opposed to the 96% of hillacrats who would vote Bernie if he were nominated.;Clinton
889307941125736_1003576979698831;1003576979698831_1003705856352610;N;N;Too bad Joe decided not to run. That would've been fun!;Clinton
889307941125736_1117384204984774;1117384204984774_1361848173830600;N;N;This has turned from a classy show to Jerry Springer with racist over tones;Clinton
889307941125736_1282274828495710;1282274828495710_1282286018494591;S;N;Trump got it backwards. Hillary was lying in her PRIVATE speeches to trick the bankers. She's always honest in her public speeches with us supporters.;Clinton
889307941125736_978848185505044;978848185505044_979034442153085;O;N;Oh I can't wait until the debates. Too bad the DNC & sHillary's ol' pal Deb has them rigged or else we would've had some already. No matter. She can run but she can't hide. She'll have to face Bernie eventually & when she does it'll be an absolute smoke show. When compared side by side she won't have a leg to stand on. #WeWantDebates #FireDebbieWassermanShulz #FeelTheBern;Clinton
889307941125736_1198377606885433;1198377606885433_1752070285004705;N;N;Establishment politicians have no desire to change the world the world put them in power why would they want to change it;Clinton
889307941125736_1186492991407228;1186492991407228_835916963207951;O;N;Crooked Hillary Clinton will give Bernie and his supporters the same thing she has given all her lying crooked life,,,Another big fat lie;Clinton
889307941125736_971186912937838;971186912937838_971189069604289;S;N;When you become President Hillary could you maybe initiate a flat tax and also get rid of the electoral college? Every person should be taxed equally and every vote should count equally as well. ☺️;Clinton
889307941125736_1304203499636176;1304203499636176_1132995840116160;N;N;Utter bull... and they STILL think they can spin their lies and we will believe..;Clinton
889307941125736_1238982806158246;1238982806158246_1167246336665026;N;N;your losing to a reality star your staff needs to be fired;Clinton
889307941125736_1320561358000390;1320561358000390_575181279358904;S;N;Thank you for your service, Mr. President! Go Hillary!! #imwithher 💙;Clinton
889307941125736_1321535184569674;1321535184569674_1116272731759875;N;N;But Donald just that said he's going to make all of our dreams come true...;Clinton
889307941125736_1312384335484759;1312384335484759_966092246868924;S;N;Hillary Clinton, Señora Presidente, 20 de enero de 2017... VOTA, VOTA, VOTA!;Clinton
889307941125736_1307291985993994;1307291985993994_1178724595549780;S;O;Let's get real Trump Doesn't care about us , all he wants it's to become president and let the Richest become more richer , he humiliates , Women. What to we expect of him absolutely nothing good !!! Hillary has more experience !!! She has made mistakes like everyone but she way better than Donald'Trump!!!;Clinton
889307941125736_1257203091002884;1257203091002884_1257236144332912;O;N;Here's a lesson: Don't trust Obama or Hillary to be truthful. URL;Clinton
889307941125736_1269780406411819;1269780406411819_1232003710183940;O;N;All the years in politics for this woman tell me one thing she's done positive for us just give me one thing you can't do it;Clinton
889307941125736_1295955130461013;1295955130461013_1092823700825431;S;N;I can't wait for my educational loan under Hillarys plan. Tried the calculator for my educational loan and I'll save alot;Clinton
889307941125736_992621364127726;992621364127726_992644514125411;O;N;I originally intended to vote for you Hillary, and voted for you before, but I realize now how anti-God and pro-sin you really are. God made man and woman. You and the Supreme Court did not create the earth. #StepOff #GoFlyAKite;Clinton
889307941125736_1307291985993994;1307291985993994_1178958715526368;O;N;Anyone who leaves 4 soldiers in Benghazi,lies to the FBI,deletes emails,destroys laptops and cellphones,and is currently under investigation by the FBI is unfit to be president.;Clinton
889307941125736_1313549148701611;1313549148701611_1832905120277731;S;N;Yes and i want Hillary to appoint Barack Obama to the Supreme Court as soon ase can.;Clinton
889307941125736_1274559862600540;1274559862600540_1610525982574800;O;N;Hundreds of post, hundreds of ads and yet not one single accomplishment highlighted or a reason to vote for Hillary.;Clinton
889307941125736_1315734051816454;1315734051816454_1093245230796960;N;N;Jill Baranowski it's a long way in, but the Shaq Shake made the cut.;Clinton
889307941125736_970835716306291;970835716306291_970839356305927;O;N;Imagine how many young soldiers Hillary would recklessly allow to die as Commander in Chief!;Clinton
889307941125736_1317336704989522;1317336704989522_638027119701779;O;N;Please read these links so you have a full understanding of whom you support. She is lying about Trump, so try to keep an open mind there,and listen to one of his campaign speeches, then you'll know. Hillary takes buy offs, Clinton cash documentary: URL the liar, on viedo: URL treatment of Bill's victims: URL wow, you guys hadn't heard what wikileaks brought out. Hillary is above the law, as per Obama. The informations there FBI is ordered not to press charges. URL you were thinking about voting Hillary, check out these 3 links. They have information about her that might change your mind. URL I'm surprised that people actually buy it too. They actually support Hillary, Evan Trey Gowdy knows Benghazi was a hit, and all Hillary had to do was play stupid. Yet her followers think she isn't guilty, because she wasn't punished. Then you can't whine about Trump, because he's never been convicted either. Congress: URL had the wife of a bomb terrorist speak at her foundation dinner: URL from snopes, verified true. This is from congress, shows how she lies to them, but they know it: URL the end you can vote for whom you want, but I believe if you vote for Hillary, it's because you didn't know about the information in these links.;Clinton
889307941125736_1320561358000390;1320561358000390_1871551016413271;O;N;It's all just lip service. She is lying to you all. God help us.Today she loves you, tomorrow she'll burn all of this. look it how phony she is.;Clinton
889307941125736_1277210509002142;1277210509002142_1106458336108141;S;N;Thank you for your perseverance, commitment and work ethic that combined will bust that glass ceiling. I'm so excited for you and for us. U.S.A.😃;Clinton
889307941125736_1207051302684730;1207051302684730_1085054454903034;O;N;"Head of the FBI said you were reckless with info..Comey: security at Hillary's State Dept lacked ""the kind of care for classified information found elsewhere in the government.""";Clinton
889307941125736_1295955130461013;1295955130461013_798723686897474;S;N;Hillary would love you you are very intelligent and we know God is with you;Clinton
889307941125736_1303389749717551;1303389749717551_1189699981106831;O;N;Hillary is lying to Hispanics and other immigrants just like she lied about her email server and Obamacare. Hillary Really Wants to deport Hispanics and immigrants, here's proof in her own words: URL;Clinton
889307941125736_1186492991407228;1186492991407228_1074091232678298;S;N;Love Bernie but as long as they're together I'm happy. I hope he becomes the vice president.;Clinton
889307941125736_1193989387324255;1193989387324255_1040515189378470;O;S;"Trump has tapped into the Anger Americans have been building up for the past 12 years. And he is channeling that anger into positive results to unfuck this nation on every point of division Obama has created; Race, 2nd Amendment, Religion, Abortion, Healthcare, Taxes, Military Defense, Illegal Immigration, and Terrorism. Hillary and Billy boy toy are finished.";Clinton
889307941125736_1295151203874739;1295151203874739_1810426152509232;O;S;But how can I trust her when even the FBI says she lied ? I don't want to just keep electing the same president over and over . I want change. Im a metal worker /blacksmith and dream of owning a small business and a home with my name on a mortgage not a lease. The last 2 presidents I have not only lied but drove us farther down the grave . I have gone over both tax plans . Trumps I gain 87 dollars per biweekly check and Hillarys I actually lose $2.60 . I also lived in Texas for quite awhile and the job market is horrible unless you speak Spanish and willing to work for a few dollars an hour under the table . So immigration plans Trump still comes out on top . I have no issues with anyone who wants to breath a little free air but we are a constitutional republic and we have laws in place for a reason . This brings me to another point . Our nation is in trillions of dollars in debt . Not only can we not afford refugees but looking at the last few killings they have all been Islamic .As an atheist I have no quarrels with anyone practicing religion but Islam is a political ideology and is not protected by the Constitution . Now let's discuss college . Trump believes that student loans shouldn't be held over your head your entire life . He's cutting you a break . What about the rapid depletion of social security and Medicare ? I can't find anything Hillary has spoken of this . By the time us 80s babies reach the age to draw social security if we stay on the current plan we will actually owe the government around $400 a month . The reason why Trumps plan will work starts all the way to the blue collar workers . The common consumer if you will . The more money we bring home the more we will spend rapidly boosting the economy . I personally want to save it and open my company . Maybe even a new pair of work boots . But what do I know I'm just a deplorable redneck . Thanks for the chat .;Clinton
889307941125736_978025155587347;978025155587347_978447745545088;N;N;Has Hilary become a war monger because that's what is needed for her to be perceived as tough?;Clinton
889307941125736_1165676796822181;1165676796822181_1809574479255954;S;N;She's so powerful and in the best way possible;Clinton
889307941125736_1194544103935450;1194544103935450_1664269253821774;N;O;America would never be safe with Donald Trump!!! He is a selfish sick men and I can't believe the there is people out there supporting his campaign and some of then they even forgot were they came from !;Clinton
889307941125736_1311761682213691;1311761682213691_1127878440636187;N;N;You all may be Early Birds, but They WILL CATCH THE WORM!;Clinton
889307941125736_1245415452181648;1245415452181648_1222382841116132;N;O;And HE should know ... for Pete's sake .. look who's calling the kettle black!;Clinton
889307941125736_1219553944767799;1219553944767799_1219661488090378;O;N;Why Does Hillary Clinton and Obama Want To Do The Same Thing As President? To Destroy America!;Clinton
889307941125736_1071199142936614;1071199142936614_1071620706227791;N;N;Please just stop with the babies, family and children messaging. It's a little much.;Clinton
889307941125736_1261619120561281;1261619120561281_924491974360889;O;N;Hillary is going to fraud her way to the Presidency and beyond;Clinton
889307941125736_1171329292923598;1171329292923598_2041234509434257;O;N;Hillary is a lying piece of trash. How can anyone in their right mind believe one thing that comes out of her mouth?;Clinton
889307941125736_971186912937838;971186912937838_971426886247174;N;N;The worst thing a small business can do is get into debt. With all the taxes we pay plus overheard, adding a monthly payment for a loan is to going to help matters. Let working people keep more of their money and stow it with this loan nonsense.;Clinton
889307941125736_1068117533244775;1068117533244775_1223397121007947;S;N;The Republicans are going for Bernie this primary ONLY because they know he's the easiest to beat in the general election. #ImWithHer;Clinton
889307941125736_995804427142753;995804427142753_995809597142236;S;N;Excelente noticia! Somos mayoría los que queremos una presidenta de todos y para todos! Vamos, Hillary!;Clinton
889307941125736_1305929919463534;1305929919463534_1785691624981298;S;N;She will be our next president and commander and chief, and not only do I support her I pray for her daily;Clinton
889307941125736_1181611848562009;1181611848562009_1742669592660903;S;O;الفرق كبير وخطير بين هيلاري وترامب علي مستوي علاقه اميريكا بالعرب والإسلام كلينتون ليس لديها أي مشكله وتعتبر العرب والمسلمون المجنسون جزء من كيان الوطن وشركاء فيه أما ترامب موقفه واضح وصريح طرد المسلمين من اميريكا لأنهم علي جد قوله خطر علي المجتمع الأمريكي! هل كل المسلمون متطرفون هل داعش تمثل الإسلام هل علي امريكا محاربه داعش أو محاربه الإسلام هل ما يقوم به المسلم أو المسيحي أو اليهودي المتطرف يمثل بالضروره الدين الذي ينتمي إليه هذه الأسئلة التي أخطأ ترامب وتسرع في الحكم علي الاسلام والمسلمين وحملهم خطأ التطرف في جميع أنحاء العالم انا شخصيا لو كنت أحمل الجنسيه الامريكيه سأصوت لهيلاري كلينتون لأن ما ستأتي به هو الوسطيه والاعتدال في التعامل والحكم علي الأخر أما ترامب فجاء بفكر عنصري متطرف واضح وصريح ضد الإسلام والمسلمين وهذا غير مقبول في ظل دوله كبيره مثل اميريكا تبنذ التطرف والفكر الغريب وتحاول أن تتعايش بسلام ولا فرق بين مسلم مسيحي يهودي فقط المصلحة الوطنيه أولا واخيرا;Clinton
889307941125736_1315266255196567;1315266255196567_724419804379653;S;O;Look at all the trolls! All butthurt because their beloved golden God is about to lose BIGLY! :D;Clinton
889307941125736_1129209107135617;1129209107135617_543609355818139;N;N;Hi friends want to learn fb hacking totally free ?? plz visit the blog hope it will help u..URL;Clinton
889307941125736_1165676796822181;1165676796822181_499884050198853;S;N;What happened in Orlando is unspeakable. I find no words to express my sorrow, anger, and indignation before the sheer mindlessness of it all. My heart goes to the victims of that lunatic, and to their families. I hope they may find the strength and their pain eventually becomes more bearable. It is time for Americans to come together, and unite before the threat of terrorism. I know Mrs. Clinton will make a great president and she will pass legislation to make acquisition of deadly weapons as hard as possible.;Clinton
889307941125736_1161544730568721;1161544730568721_1742872292621214;S;O;Bull, she as bad as a republican but still better choice than Trump;Clinton
889307941125736_1311905142199345;1311905142199345_1601281303511887;N;N;How to Survive a Nuclear Bomb When Your Government Has No Shelters For You ... URL;Clinton
889307941125736_1003664213023441;1003664213023441_1003914936331702;S;N;I admire so much more after the hearing. So at least they accomplished something.;Clinton
889307941125736_1312243758832150;1312243758832150_1286727574732334;O;S;This just screams... Desperation... If she is elected, prison is in her future and another 4 years of Obama if she is sent to prison before being sworn in.. seals this countries gloomy fate... DRAIN THE SWAMP!!;Clinton
889307941125736_1021697584553437;1021697584553437_1021927844530411;N;N;happy thanksgiving day this girl I know her as it is called as is called;Clinton
889307941125736_1245415452181648;1245415452181648_1823519297884772;O;S;Pretending to be and to be are two different things. Donald Trump is not crooked, he is direct. Honest and decent ones prefer Donald Trump. Cheaters on the other hand prefer ...... you know very well.;Clinton
889307941125736_1065841663472362;1065841663472362_1071461172910411;S;N;@HillaryClinton Very important remarks, ma'am, for all of us dealing with mental health issues in our lives and families. Much obliged. xo;Clinton
889307941125736_1021697584553437;1021697584553437_1021752914547904;N;N;"No creo que sea buena idea seguirla exibiendo en su campana con su ex-marido despues de lo que paso con Sra. Monica Lewiski , si fue una trampa por parte de sus enemigos politicos, lo que haya sido el Sr.Clinton fue mal ejemplo para la nacion y ahora Hillary esta mandando el mensaje equivocado para miles de mujeres que la apoyamos; ya se, siendo padre de sus hijos pero eso es aparte estamos hablando de politica o no?";Clinton
889307941125736_1277387345651125;1277387345651125_1122904371127995;N;O;He's a liar and a cheat.A really frightening man.;Clinton
889307941125736_931592980230565;931592980230565_932292616827268;O;N;Yeah but you didn't complain when your husband used confederate flag buttons for his race as president. What a hypocrite!!!!;Clinton
889307941125736_1200227913367069;1200227913367069_659876867497960;S;N;I believe in Hillary because she has proven to be a brave and decent Human being! It would be an honor to have her as President! =);Clinton
889307941125736_1155464751176719;1155464751176719_1155494154507112;N;N;Escuchen bien si gana downal la economía mundial corre peligro para que lo sepan también hablo mal de los negros americanos;Clinton
889307941125736_1118892271500634;1118892271500634_1752906734941140;O;N;I am so glad that you didn't vote for DOMA or make speeches about marriage being solely between a man and a woman before the political tides turned... LOL;Clinton
889307941125736_1320561358000390;1320561358000390_1156382414454254;N;N;Obama bragging about our economy? I wonder why he isn't mentioning record low home ownership rates, record high food stamp rates!;Clinton
889307941125736_1309824979074028;1309824979074028_1155042854577129;O;N;WikiLeaks proves that Hillary Clinton knew that Anthony Weiner was sexting underage girls for at least (five years) yet she did (nothing) to stop him. This is someone who stands up for woman & children, you've got to be kidding me!;Clinton
889307941125736_1288991687824024;1288991687824024_1296458930398919;N;N;NO NO NO NO NO NO NO NO NO JUST NO.;Clinton
889307941125736_1201823156540878;1201823156540878_1201099809941507;O;N;The party of Bigotry, Hate & Division revealed!! the DNC Chair lost her job spewing all kinds of HATE behind the dems backs.;Clinton
889307941125736_1053535781369617;1053535781369617_863523303745279;S;N;Hillary is the best candidate. i voted for her and will again. she is smart and cares about Americans and our lives. not just the present but future. love the Clintons.;Clinton
889307941125736_1056584304398098;1056584304398098_1056595537730308;S;N;President Hillary Clinton is most Qualified person ever in history of America;Clinton
889307941125736_1084598074930054;1084598074930054_1084626978260497;N;N;If this were true, it would be a great advertisement. It is about the same as if Dubya made it about himself.;Clinton
889307941125736_1307604312629428;1307604312629428_1207351615990903;O;N;Crooked Hillary criminal activities has finally caught up with her.;Clinton
889307941125736_998513036871892;998513036871892_998577753532087;S;N;Hillary is the only candidate who deserves to be in the White House! Congratulations.;Clinton
889307941125736_1285120801544446;1285120801544446_1118917181537322;O;N;HERE IS PROOF OF THE CLINTON CORRUPTION AND DIRTY CAMPAIGN: URL SHARE EVERYWHERE. HER SUPPORTERS SHOULD BE ASHAMED AND THE DNC, HILLIARY CLINTON , AND EACH PERSON INVOLVED SHOULD BE ARRESTED IMMEDIATELY FOR ASSAULTS ON ALL WHO WERE HURT.;Clinton
889307941125736_1183800645009796;1183800645009796_1742714412665350;O;N;She's indictable. But wasn't. You need to ask why;Clinton
