prompt,completion,preds
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""She'll all talk... ð§ just saying everything people want to hear.. pathetic
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""illegal [ih-lee-guh l] Spell Syllables Synonyms Examples Word Origin See more synonyms on Thesaurus.com adjective 1. forbidden by law or statute. 2. contrary to or forbidden by official rules, regulations, etc.: The referee ruled that it was an illegal forward pass. noun 3. Informal. illegal alien.
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""The sad thing about all of this, is that our own government is protecting a person who is obviously guilty of breaking the law; and thanks to Wikileaks, it confirms how deep seeded the corruption is. We pay our taxes for the government to serve us, and govern justly; but instead, our government has been giving immunity to those who break the laws. We must cast out this corruption, by casting our vote for Mike Pence and Donald Trump.
""""""
","Favor, Against","Favor, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Hillary's gonna go down faster then bills pants around an intern
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Hillary is running to try and stay out of jail TRUTH MATTERS LOCK HER UP LOCK HER UP
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""I'm pretty sure donald has done some illegal stuff as well. I
""""""
","Against, None","Against, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""For people who don't really want to look at anything else. You have 2 people running for president. These two people know each other very well. They want you to believe that they are for the American people. One was a racist comment while the other one defense the integrity of those people when in fact it's just a ploy just to get people on one side. Everyone has a right to vote for whoever they want I believe that as an American, but as a person who believes in humanity to turn a blind eye is the worst thing I could do. now is divided between feminism, racism, and male gender, and etc. if you look at it's the same cycle of discrimination. If we don't open are eyes to what is really happening. Humanity has lost its Hope to save anything for the future for the children of this world sadly, but true. If we allow the rich to Play their game of chess. We have lost our morality and replaced it with greed. Until we stop looking to benefit ourselves only, and look to benefit humanity nothing will never change. Para las personas que realmente no quieren mirar a cualquier otra cosa. Tienes 2 personas corriendo para presidente. Estas dos personas se conocen muy bien. Ellos quieren que usted crea que son para el pueblo estadounidense. Uno de ellos era un comentario racista mientras que el otro la defensa de la integridad de las personas, cuando en realidad es sÃ³lo una estratagema sÃ³lo para hacer que la gente en un lado. Todo el mundo tiene derecho a votar por quien quieran Creo que como estadounidense, sino como una persona que cree en la humanidad para hacer la vista gorda es la peor cosa que podÃ­a hacer. ahora se divide entre el feminismo, el racismo, y el sexo masculino, y etc, si nos fijamos en que es el mismo ciclo de discriminaciÃ³n. Si no abrimos los ojos son a lo que realmente estÃ¡ sucediendo. La humanidad ha perdido su esperanza de salvar algo para el futuro de los hijos de este mundo por desgracia, pero es cierto. Si permitimos que los ricos a jugar su juego de ajedrez. Hemos perdido nuestra moral y lo reemplazÃ³ con avaricia. Hasta que no dejemos que buscan beneficiar a nosotros mismos solamente, y miramos para beneficiar a la humanidad nada nunca va a cambiar.
""""""
","Against, Against","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Si usted vive en Arizona, estÃ¡ aumentando el costo de Obamacare en un 116%. Si usted no puede permitirse un aumento asÃ­, y no puede pagar, tendrÃ¡ que pagar una penalizaciÃ³n en su impuesto sobre la renta. Donald Trump Â¡vota!
""""""
","Favor, None","Against, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""NEWS FLASH! MORE MOZTEC MADNESS IN NEW YORK! Muslim illegal shuts down city with a meat cleaver? And Hillary want's to bring how many more in? YOU PEOPLE BEST OPEN YOUR EYES BEFORE YOUR NEXT! A Democrat is really a Republican that hasn't gotten attacked by a Moztec Militant swinging a meat cleaver yelling Allah Aka-bode!! Once they do they get real..FAST!! URL
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""share she hates democracy and is a nation builder DANGEROUS and unjust to the world! URL
""""""
","None, Against","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""FBI Dir Comey finally caved to the GOP House and his agents, 90% of FBI agents are Republican, when he released his unprecedented and vague letter to Congress. It's very dangerous for our democracy to have the supposed lead investigative arm kowtow to political pressure!
""""""
","None, None","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Trumpsters today is the day, everyone must vote, do not sit it out Hillary said last night she will shut down the dissenting voice, as she stood next to lady Gaga in a natzi uniform Every sign is there, freedom only rings if we use our vote. THE ENEMY IS AT THE GATES WE MUST STAND TOGETHER PRAY FOR OUR COUNTRY AND END 8 YEARS OF MORAL DECLINE AND CORRUPTION.IF WE FAIL OUR COUNTRY WILL NEVER HAVE THE CHANCE TO TURN IT AROUND WE NEED A PRESIDENT THAT LOVES GOD, AMERICA,AND FREEDOM AND RESPECTS OUR TROOPS AND POLICE, AND VALUES THE UNBORN GET OUT AND VOTE
""""""
","Favor, Against","Favor, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Clinton cash YouTube it now and share it . Go trump 2016
""""""
","Favor, Against","Favor, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Fear and distrust and division are not good for the individual and it's not good for our country. Sometimes the most important thing a president needs to do is reassure the people that the sky is not falling even if everyone else says it is!
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""I think something smells rotten in how this was done and timed. As well as the vague language. Why are the Dem's not ask questions and putting out there that Trump has 2 court dates coming up in November and the worse one in December for child rape. How can someone with such serious charges and cases be running for president ??? I don't understand this. Not to mention other court cases to come on trump university trump foundation the women that have come forward and more May How do u handle all his companies while hi is president. How do u keep him from making decisions that will benifit them. Theses things all need to be bought up now and soon. I know u are trying to go high. But just remind people of the facts
""""""
","Against, None","Against, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""A mi tambiÃ©n me duele Obama man.....hay que orar.
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""""Crooked Hillary"" ???? LMFAO, hey Trumpanzees let's look at your Cheetoh Jesus..... Numerous business failures, several bankruptcies, racial bias and discrimination, cheated on wife #1 with wife #2 and bragged about it, wife #3 LIED about having a degree, plagiarized Michelle Obama AND may have been an illegal immigrant when she married Trump; five children from three different wives; Trump casinos lost their gambling licenses; admits he wants to bang his own daughter; bribed Florida AG Pam Bondi; mocked the handicapped; going to court over Trump University ethics violations; supports torture; Russian and Mafia ties, and that's just off the top of my head.
""""""
","Against, None","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Muy. Bien. HILLARY CLINTON, proxima PRESIDENTE DE U.S.A.
""""""
","None, Favor","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Now that's a Leader. May God lead your way. ðºð¸ðºð¸ð
""""""
","None, Favor","Favor, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Bill Clinton never said he was sorry to his rape victims at last nights debate tell her keep her own house in order the rapist enabler has zero credibility.
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""I would vote for you but you have no Integrity, and i dont vote for those who don't have integrity.
""""""
","None, Against","Against, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""A known Psychopath whom lives in her husbands shadow. I know lots of Women whom work for their husband's that have gone out of business. The Emails were discarded because of Bill downloading child pornography. Or teen. Hilarious!
""""""
","None, Against","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""How about protecting the people who are now forced to pay for it? We are being exploited while the healthcare CEO are racking up $100,000,000 annual salaries and the industry is living large. Hey, how about those $6,500 deductibles for the poor! This is just another way the elites are looting the middle class and cheating the poor. Plain class warfare. It has to stop or the deal needs to be shut down.
""""""
","None, None","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Rumor has it they've selected a scapegoat, poor Huma, might have to take one for the team.
""""""
","None, None","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""It's so funny how these Trump supporters calls Hillary a liar! Educate yourself, look up Trump and sexual harassment, look up trump and his current lawsuits oh year one of them is defrauding thousands of students from his Trump university, I don't know what you were suppose to learn there, maybe how to file for bankruptcy so you don't have to pay your debt to people! Oh and how weird he doesn't like immigrants since his wife is one!!
""""""
","Against, Favor","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Yet you silence and threaten the women accusing your husband of rape. You're a hero to women everywhere, Hillary.
""""""
","None, Against","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""You mean it isn't China making global warming up? ð
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""A Racist,an immigrant hater,a sexual woman abuse, a person who laugh with people disabilities a Schizophrenic like him is the opposite of all values that has built USA till now. Trump is a Monster voting him is a vote for a dark America, vote Hillary to continue for the brighter America, the equality, and make history.
""""""
","Against, Favor","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Come on, Derek. You can mount a better argument than this.
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""""The United States takes human rights violations very seriously."" Hillary Clinton.....unless we're talking about ""Israel"". SHAME ON YOU, MRS. CLINTON! You can't pretend that you don't know what's going on. Again, SHAME ON YOU!
""""""
","None, Against","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""And about his pay for play to the Florida AG to drop it's suit for fraud involving Trump U.
""""""
","Against, None","Against, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""We didn't need Trump to tell us ""Obama was born in the United States. Period"" any more than we need Comey to tell us about Russian interference & possible ties to Trump.
""""""
","None, None","Against, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Stop taking advantage of people's pain and misery! You are so ambitious that you use anybody and anything to get you into the White House!
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Can I post a huge middle finger on here? I wish I could. Cuz she's worthless
""""""
","None, Against","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""I believe Trump is hiding his relative lack of personal giving...but hey, he only has to release his return to prove me wrong...not fooled by Der Fuhrer Trump.
""""""
","Against, None","Against, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Love this president and I can't wait to vote for our first Madame President ððð
""""""
","None, Favor","None, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""This is the same woman you want as POTUS?? URL
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Anything from them is a try to defeat Dem. seat to the WH.
""""""
","None, None","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Illegal immigrants you moron. All you do is lie lie lie!!!
""""""
","None, Against","Against, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Fairy tales are more then true not because they tell us dragons exist,but because they tell us dragons can be beaten.
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""How does Hillary expect to capture the conservative independents like myself? We make up about 1/6th of bernicrats. That's a significant percentage of people who will not vote Hillary in November. It s a fallacy to think the Clinton campaign will convert more than 70- 80% of bernicrats in November As opposed to the 96% of hillacrats who would vote Bernie if he were nominated.
""""""
","None, Favor","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Super Money Pac told her to do this, as people are getting nervous about wasted money on failed campaign.
""""""
","None, Against","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Stay strong, stay determined Mrs. Clinton. You are a shining example to us all of what it takes to overcome all the negative chatter and to keep your chin up no matter how hard they try to knock you down! WE ARE ALL STRONGER TOGETHER AND WE ARE STRONGER BECAUSE OF YOU!
""""""
","None, Favor","None, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""That's right. But only if Donald Trump said so as he will be in White house months after.
""""""
","None, None","Favor, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""I wonder how she will answer the following: 1. How can you be for women's rights when you receive money from countries who practice shira law? 2. How will your broader policies stop/slow down the 75% of heroin coming in from MX? 3. What do you have to say to the American family that Health care premiums went up 50-75% in the past two years when Obuma said over and over that the American family would save an average of 2800.00 year? This just a start...
""""""
","None, Against","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Hilarious! Still americans choose this con man? Unbelievable.What happens to the supporters of Trump?Living in fantasy land?Trump will destroy the USA!
""""""
","Against, None","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""An article on the idea of public safety and protection: URL
""""""
","None, None","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Win win win who will win, HILLARY CLINTON is WIN.( I'm not American, but I support her, miss u H.C.)
""""""
","None, Favor","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Well come . I am proud of you and hopping your success in the forth coming President Election of USA.
""""""
","None, Favor","None, None"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""If this doesn't blow you away about Hillary I don't know what would!!!!! URL
""""""
","None, None","None, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Your gone Hillary. People who you think are your friends are not prepared to go to jail to cover up your corruption. Funny how now there are less posts from you....that is because you know its over for you.
""""""
","None, Against","None, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""IF YOU READ THE STORY, ITS SAYS CLEARLY THIS IS NOT TRUE AND ZERO TIES TO TRUMP AT ALL. THIS IS A SPIN JOB, REACHING IN THE DARK, AN ANY OF YOU IDIOTS WHO BY THE NONSENSE WITHOUT READING IT, ARE PURE IDIOTS. HILLARY YOU A CON and YOU DESERVE TO LOOSE NOV 8TH. SHARING FICTION NEWS! SMH
""""""
","None, Against","Favor, Against"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Our country is great and smart....Hillary will be president...
""""""
","None, Favor","None, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""America is Great, always has been and still is and always will be!! Love your country Stand United Together Vote Blueððºð¸.
""""""
","Against, Favor","Against, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""I will wear white, raise a glass high, and know that I have worked for this moment since before I was 10 years old. Thank you Hilary Clinton.
""""""
","None, Favor","None, Favor"
"This statement may express a STANCE towards Trump, Clinton, or both. Return the STANCE [Favor/Against/None] for Trump and Clinton. Answer: {Trump: STANCE, Clinton: STANCE}

""""""Hillary says she's sorry about the ""confusion"" surrounding her server. Sounds like lawyer talk to me. She should've said I'm sorry that I'm corrupt and I've exposed Top Secret information that are now in the hands of our nations enemies. Sorry for the dangerous Incompetence now may I be the leader of your country?
""""""
","None, Against","Against, Against"
