post_id,reply_set,0,1,2,3,4,5,preds
44,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
45,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
46,0,"Support, Neither",,,,,,"Support, Neither, , , , "
47,0,"Neither, Support",,,,,,"Neither, Support, , , , "
48,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
49,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
50,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
51,1,"Oppose, Support","Oppose, Support",,,,,"Oppose, Support, Oppose, Support, , , "
52,1,"Oppose, Neither","Support, Neither",,,,,"Oppose, Neither, Support, Neither, , , "
53,1,"Support, Neither","Oppose, Neither",,,,,"Support, Neither, Oppose, Neither, , , "
54,1,"Neither, Support","Neither, Oppose",,,,,"Neither, Support, Neither, Oppose, , , "
55,1,"Oppose, Oppose","Oppose, Oppose",,,,,"Oppose, Oppose, Oppose, Oppose, , , "
56,1,"Oppose, Neither","Support, Neither",,,,,"Oppose, Neither, Support, Neither, , , "
57,1,"Neither, Support","Oppose, Neither",,,,,"Neither, Support, Oppose, Neither, , , "
58,1,"Support, Neither","Support, Neither",,,,,"Support, Neither, Support, Neither, , , "
59,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
60,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
61,1,"Oppose, Support","Support, Oppose",,,,,"Oppose, Support, Support, Oppose, , , "
62,1,"Neither, Oppose","Support, Oppose",,,,,"Neither, Oppose, Support, Oppose, , , "
63,1,"Support, Oppose","Neither, Oppose",,,,,"Support, Oppose, Neither, Oppose, , , "
64,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
65,1,"Support, Oppose","Support, Oppose",,,,,"Support, Oppose, Support, Oppose, , , "
66,1,"Neither, Support","Oppose, Neither",,,,,"Neither, Support, Oppose, Neither, , , "
67,1,"Support, Oppose","Support, Oppose",,,,,"Support, Oppose, Support, Oppose, , , "
68,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
69,1,"Oppose, Oppose","Neither, Neither",,,,,"Oppose, Oppose, Neither, Neither, , , "
70,1,"Support, Oppose","Oppose, Neither",,,,,"Support, Oppose, Oppose, Neither, , , "
71,1,"Neither, Support","Neither, Support",,,,,"Neither, Support, Neither, Support, , , "
72,1,"Oppose, Neither","Oppose, Neither",,,,,"Oppose, Neither, Oppose, Neither, , , "
73,1,"Neither, Neither","Neither, Neither",,,,,"Neither, Neither, Neither, Neither, , , "
74,1,"Oppose, Neither","Support, Neither",,,,,"Oppose, Neither, Support, Neither, , , "
75,1,"Oppose, Support","Neither, Support",,,,,"Oppose, Support, Neither, Support, , , "
76,1,"Support, Oppose","Support, Oppose",,,,,"Support, Oppose, Support, Oppose, , , "
77,1,"Support, Oppose","Oppose, Neither",,,,,"Support, Oppose, Oppose, Neither, , , "
78,1,"Oppose, Oppose","Oppose, Support",,,,,"Oppose, Oppose, Oppose, Support, , , "
79,1,"Support, Oppose","Support, Oppose",,,,,"Support, Oppose, Support, Oppose, , , "
80,1,"Support, Oppose","Neither, Oppose",,,,,"Support, Oppose, Neither, Oppose, , , "
81,1,"Support, Oppose","Support, Oppose",,,,,"Support, Oppose, Support, Oppose, , , "
82,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
83,1,"Oppose, Support","Neither, Neither",,,,,"Oppose, Support, Neither, Neither, , , "
84,1,"Neither, Oppose","Neither, Neither",,,,,"Neither, Oppose, Neither, Neither, , , "
85,1,"Oppose, Support","Neither, Neither",,,,,"Oppose, Support, Neither, Neither, , , "
86,1,"Oppose, Support","Oppose, Support",,,,,"Oppose, Support, Oppose, Support, , , "
87,1,"Neither, Support","Neither, Oppose",,,,,"Neither, Support, Neither, Oppose, , , "
88,1,"Oppose, Support","Oppose, Neither",,,,,"Oppose, Support, Oppose, Neither, , , "
89,1,"Oppose, Neither","Oppose, Neither",,,,,"Oppose, Neither, Oppose, Neither, , , "
90,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
91,1,"Oppose, Support","Support, Neither",,,,,"Oppose, Support, Support, Neither, , , "
92,1,"Support, Oppose","Support, Oppose",,,,,"Support, Oppose, Support, Oppose, , , "
93,1,"Oppose, Oppose","Support, Oppose",,,,,"Oppose, Oppose, Support, Oppose, , , "
94,1,"Oppose, Oppose","Support, Oppose",,,,,"Oppose, Oppose, Support, Oppose, , , "
95,1,"Support, Neither","Oppose, Neither",,,,,"Support, Neither, Oppose, Neither, , , "
96,1,"Neither, Support","Neither, Support",,,,,"Neither, Support, Neither, Support, , , "
97,1,"Support, Oppose","Oppose, Neither",,,,,"Support, Oppose, Oppose, Neither, , , "
98,1,"Oppose, Neither","Neither, Neither",,,,,"Oppose, Neither, Neither, Neither, , , "
99,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
100,1,"Support, Oppose","Support, Oppose",,,,,"Support, Oppose, Support, Oppose, , , "
101,2,"Support, Oppose","Support, Neither","Support, Neither",,,,"Support, Oppose, Support, Neither, Support, Neither, , "
102,2,"Support, Oppose","Support, Oppose","Support, Oppose",,,,"Support, Oppose, Support, Oppose, Support, Oppose, , "
103,2,"Support, Oppose","Neither, Neither","Support, Support",,,,"Support, Oppose, Neither, Neither, Support, Support, , "
104,2,"Support, Oppose","Support, Oppose","Neither, Oppose",,,,"Support, Oppose, Support, Oppose, Neither, Oppose, , "
105,2,"Oppose, Support","Neither, Neither","Neither, Support",,,,"Oppose, Support, Neither, Neither, Neither, Support, , "
106,2,"Neither, Support","Support, Oppose","Neither, Support",,,,"Neither, Support, Support, Oppose, Neither, Support, , "
107,2,"Support, Oppose","Oppose, Support","Neither, Neither",,,,"Support, Oppose, Oppose, Support, Neither, Neither, , "
108,2,"Support, Oppose","Oppose, Support","Support, Oppose",,,,"Support, Oppose, Oppose, Support, Support, Oppose, , "
109,2,"Support, Oppose","Support, Oppose","Support, Oppose",,,,"Support, Oppose, Support, Oppose, Support, Oppose, , "
110,2,"Support, Oppose","Support, Oppose","Support, Oppose",,,,"Support, Oppose, Support, Oppose, Support, Oppose, , "
111,2,"Oppose, Neither","Neither, Neither","Support, Neither",,,,"Oppose, Neither, Neither, Neither, Support, Neither, , "
112,2,"Oppose, Oppose","Support, Neither","Support, Oppose",,,,"Oppose, Oppose, Support, Neither, Support, Oppose, , "
113,2,"Oppose, Neither","Oppose, Neither","Neither, Neither",,,,"Oppose, Neither, Oppose, Neither, Neither, Neither, , "
114,2,"Support, Neither","Support, Neither","Support, Oppose",,,,"Support, Neither, Support, Neither, Support, Oppose, , "
115,2,"Support, Oppose","Support, Neither","Support, Neither",,,,"Support, Oppose, Support, Neither, Support, Neither, , "
116,2,"Support, Oppose","Support, Oppose","Support, Oppose",,,,"Support, Oppose, Support, Oppose, Support, Oppose, , "
117,2,"Support, Neither","Neither, Neither","Support, Neither",,,,"Support, Neither, Neither, Neither, Support, Neither, , "
118,2,"Oppose, Support","Neither, Support","Neither, Support",,,,"Oppose, Support, Neither, Support, Neither, Support, , "
119,2,"Support, Oppose","Support, Oppose","Support, Support",,,,"Support, Oppose, Support, Oppose, Support, Support, , "
120,2,"Neither, Oppose","Neither, Neither","Neither, Neither",,,,"Neither, Oppose, Neither, Neither, Neither, Neither, , "
121,2,"Support, Oppose","Oppose, Neither","Support, Oppose",,,,"Support, Oppose, Oppose, Neither, Support, Oppose, , "
122,2,"Support, Oppose","Oppose, Support","Oppose, Neither",,,,"Support, Oppose, Oppose, Support, Oppose, Neither, , "
123,2,"Oppose, Support","Neither, Neither","Oppose, Support",,,,"Oppose, Support, Neither, Neither, Oppose, Support, , "
124,2,"Support, Oppose","Support, Oppose","Support, Oppose",,,,"Support, Oppose, Support, Oppose, Support, Oppose, , "
125,2,"Neither, Support","Oppose, Support","Neither, Support",,,,"Neither, Support, Oppose, Support, Neither, Support, , "
126,2,"Support, Oppose","Support, Oppose","Oppose, Neither",,,,"Support, Oppose, Support, Oppose, Oppose, Neither, , "
127,2,"Oppose, Oppose","Support, Neither","Neither, Neither",,,,"Oppose, Oppose, Support, Neither, Neither, Neither, , "
128,2,"Support, Oppose","Neither, Support","Oppose, Oppose",,,,"Support, Oppose, Neither, Support, Oppose, Oppose, , "
129,2,"Support, Neither","Support, Neither","Support, Neither",,,,"Support, Neither, Support, Neither, Support, Neither, , "
130,2,"Support, Oppose","Support, Oppose","Support, Oppose",,,,"Support, Oppose, Support, Oppose, Support, Oppose, , "
131,2,"Neither, Support","Neither, Neither","Neither, Neither",,,,"Neither, Support, Neither, Neither, Neither, Neither, , "
132,2,"Support, Neither","Support, Support","Oppose, Support",,,,"Support, Neither, Support, Support, Oppose, Support, , "
133,2,"Support, Oppose","Neither, Neither","Neither, Neither",,,,"Support, Oppose, Neither, Neither, Neither, Neither, , "
134,2,"Neither, Support","Neither, Support","Neither, Support",,,,"Neither, Support, Neither, Support, Neither, Support, , "
135,2,"Support, Oppose","Support, Oppose","Support, Oppose",,,,"Support, Oppose, Support, Oppose, Support, Oppose, , "
136,2,"Oppose, Neither","Oppose, Neither","Oppose, Neither",,,,"Oppose, Neither, Oppose, Neither, Oppose, Neither, , "
137,2,"Oppose, Neither","Support, Neither","Support, Oppose",,,,"Oppose, Neither, Support, Neither, Support, Oppose, , "
138,2,"Neither, Oppose","Support, Neither","Neither, Oppose",,,,"Neither, Oppose, Support, Neither, Neither, Oppose, , "
139,2,"Support, Oppose","Support, Oppose","Support, Neither",,,,"Support, Oppose, Support, Oppose, Support, Neither, , "
140,2,"Neither, Neither","Neither, Neither","Neither, Support",,,,"Neither, Neither, Neither, Neither, Neither, Support, , "
141,2,"Oppose, Neither","Support, Neither","Oppose, Neither",,,,"Oppose, Neither, Support, Neither, Oppose, Neither, , "
142,2,"Oppose, Oppose","Neither, Neither","Oppose, Oppose",,,,"Oppose, Oppose, Neither, Neither, Oppose, Oppose, , "
143,2,"Neither, Oppose","Neither, Oppose","Support, Oppose",,,,"Neither, Oppose, Neither, Oppose, Support, Oppose, , "
144,2,"Oppose, Oppose","Oppose, Oppose","Oppose, Oppose",,,,"Oppose, Oppose, Oppose, Oppose, Oppose, Oppose, , "
145,2,"Neither, Neither","Neither, Neither","Oppose, Support",,,,"Neither, Neither, Neither, Neither, Oppose, Support, , "
146,2,"Support, Oppose","Support, Oppose","Support, Oppose",,,,"Support, Oppose, Support, Oppose, Support, Oppose, , "
147,2,"Neither, Neither","Support, Oppose","Neither, Neither",,,,"Neither, Neither, Support, Oppose, Neither, Neither, , "
148,2,"Oppose, Oppose","Oppose, Oppose","Neither, Support",,,,"Oppose, Oppose, Oppose, Oppose, Neither, Support, , "
149,2,"Support, Oppose","Neither, Neither","Oppose, Neither",,,,"Support, Oppose, Neither, Neither, Oppose, Neither, , "
150,2,"Neither, Oppose","Support, Oppose","Support, Oppose",,,,"Neither, Oppose, Support, Oppose, Support, Oppose, , "
151,3,"Oppose, Support","Neither, Neither","Neither, Neither","Oppose, Support",,,"Oppose, Support, Neither, Neither, Neither, Neither, Oppose, Support, "
152,3,"Support, Oppose","Support, Oppose","Support, Oppose","Support, Neither",,,"Support, Oppose, Support, Oppose, Support, Oppose, Support, Neither, "
153,3,"Neither, Neither","Oppose, Neither","Neither, Neither","Oppose, Neither",,,"Neither, Neither, Oppose, Neither, Neither, Neither, Oppose, Neither, "
154,3,"Support, Oppose","Support, Oppose","Support, Oppose","Support, Oppose",,,"Support, Oppose, Support, Oppose, Support, Oppose, Support, Oppose, "
155,3,"Oppose, Support","Support, Oppose","Oppose, Support","Oppose, Oppose",,,"Oppose, Support, Support, Oppose, Oppose, Support, Oppose, Oppose, "
156,3,"Oppose, Neither","Oppose, Neither","Oppose, Neither","Oppose, Oppose",,,"Oppose, Neither, Oppose, Neither, Oppose, Neither, Oppose, Oppose, "
157,3,"Oppose, Support","Support, Oppose","Neither, Neither","Oppose, Support",,,"Oppose, Support, Support, Oppose, Neither, Neither, Oppose, Support, "
158,3,"Support, Neither","Neither, Neither","Neither, Neither","Support, Neither",,,"Support, Neither, Neither, Neither, Neither, Neither, Support, Neither, "
159,3,"Oppose, Support","Support, Oppose","Neither, Neither","Support, Neither",,,"Oppose, Support, Support, Oppose, Neither, Neither, Support, Neither, "
160,3,"Support, Oppose","Support, Oppose","Support, Oppose","Support, Neither",,,"Support, Oppose, Support, Oppose, Support, Oppose, Support, Neither, "
161,3,"Oppose, Support","Oppose, Support","Oppose, Support","Oppose, Support",,,"Oppose, Support, Oppose, Support, Oppose, Support, Oppose, Support, "
162,3,"Support, Oppose","Neither, Neither","Support, Oppose","Support, Neither",,,"Support, Oppose, Neither, Neither, Support, Oppose, Support, Neither, "
163,3,"Neither, Neither","Support, Neither","Neither, Support","Neither, Neither",,,"Neither, Neither, Support, Neither, Neither, Support, Neither, Neither, "
164,3,"Neither, Support","Oppose, Oppose","Neither, Oppose","Oppose, Neither",,,"Neither, Support, Oppose, Oppose, Neither, Oppose, Oppose, Neither, "
165,3,"Support, Oppose","Support, Oppose","Support, Oppose","Support, Neither",,,"Support, Oppose, Support, Oppose, Support, Oppose, Support, Neither, "
166,3,"Support, Oppose","Neither, Neither","Support, Oppose","Support, Support",,,"Support, Oppose, Neither, Neither, Support, Oppose, Support, Support, "
167,3,"Support, Oppose","Support, Oppose","Neither, Neither","Oppose, Support",,,"Support, Oppose, Support, Oppose, Neither, Neither, Oppose, Support, "
168,3,"Oppose, Support","Oppose, Support","Oppose, Support","Oppose, Support",,,"Oppose, Support, Oppose, Support, Oppose, Support, Oppose, Support, "
169,3,"Oppose, Neither","Support, Oppose","Support, Oppose","Oppose, Support",,,"Oppose, Neither, Support, Oppose, Support, Oppose, Oppose, Support, "
170,3,"Support, Oppose","Support, Neither","Support, Oppose","Support, Neither",,,"Support, Oppose, Support, Neither, Support, Oppose, Support, Neither, "
171,3,"Support, Oppose","Neither, Neither","Support, Oppose","Support, Oppose",,,"Support, Oppose, Neither, Neither, Support, Oppose, Support, Oppose, "
172,3,"Oppose, Neither","Neither, Neither","Neither, Neither","Oppose, Neither",,,"Oppose, Neither, Neither, Neither, Neither, Neither, Oppose, Neither, "
173,3,"Support, Support","Oppose, Neither","Support, Support","Neither, Neither",,,"Support, Support, Oppose, Neither, Support, Support, Neither, Neither, "
174,3,"Oppose, Support","Oppose, Support","Oppose, Support","Oppose, Support",,,"Oppose, Support, Oppose, Support, Oppose, Support, Oppose, Support, "
175,3,"Neither, Support","Neither, Oppose","Oppose, Support","Neither, Oppose",,,"Neither, Support, Neither, Oppose, Oppose, Support, Neither, Oppose, "
176,3,"Support, Oppose","Neither, Neither","Neither, Oppose","Support, Oppose",,,"Support, Oppose, Neither, Neither, Neither, Oppose, Support, Oppose, "
177,3,"Oppose, Support","Oppose, Neither","Oppose, Neither","Oppose, Support",,,"Oppose, Support, Oppose, Neither, Oppose, Neither, Oppose, Support, "
178,3,"Neither, Support","Neither, Neither","Support, Oppose","Neither, Support",,,"Neither, Support, Neither, Neither, Support, Oppose, Neither, Support, "
179,3,"Oppose, Oppose","Support, Oppose","Neither, Neither","Neither, Neither",,,"Oppose, Oppose, Support, Oppose, Neither, Neither, Neither, Neither, "
180,3,"Support, Neither","Neither, Neither","Support, Neither","Support, Neither",,,"Support, Neither, Neither, Neither, Support, Neither, Support, Neither, "
181,3,"Oppose, Support","Oppose, Neither","Oppose, Support","Oppose, Support",,,"Oppose, Support, Oppose, Neither, Oppose, Support, Oppose, Support, "
182,3,"Support, Oppose","Oppose, Neither","Support, Oppose","Support, Neither",,,"Support, Oppose, Oppose, Neither, Support, Oppose, Support, Neither, "
183,3,"Oppose, Neither","Oppose, Neither","Oppose, Neither","Oppose, Support",,,"Oppose, Neither, Oppose, Neither, Oppose, Neither, Oppose, Support, "
184,3,"Oppose, Oppose","Support, Oppose","Neither, Oppose","Neither, Oppose",,,"Oppose, Oppose, Support, Oppose, Neither, Oppose, Neither, Oppose, "
185,3,"Support, Oppose","Support, Oppose","Neither, Neither","Support, Oppose",,,"Support, Oppose, Support, Oppose, Neither, Neither, Support, Oppose, "
186,3,"Oppose, Support","Oppose, Support","Oppose, Support","Neither, Neither",,,"Oppose, Support, Oppose, Support, Oppose, Support, Neither, Neither, "
187,3,"Oppose, Neither","Support, Neither","Support, Neither","Oppose, Neither",,,"Oppose, Neither, Support, Neither, Support, Neither, Oppose, Neither, "
188,3,"Oppose, Oppose","Support, Support","Neither, Neither","Oppose, Support",,,"Oppose, Oppose, Support, Support, Neither, Neither, Oppose, Support, "
189,3,"Support, Oppose","Support, Oppose","Support, Oppose","Support, Oppose",,,"Support, Oppose, Support, Oppose, Support, Oppose, Support, Oppose, "
190,3,"Support, Oppose","Support, Oppose","Support, Oppose","Support, Oppose",,,"Support, Oppose, Support, Oppose, Support, Oppose, Support, Oppose, "
191,3,"Neither, Oppose","Neither, Neither","Neither, Support","Neither, Oppose",,,"Neither, Oppose, Neither, Neither, Neither, Support, Neither, Oppose, "
192,3,"Neither, Oppose","Neither, Neither","Support, Oppose","Support, Oppose",,,"Neither, Oppose, Neither, Neither, Support, Oppose, Support, Oppose, "
193,3,"Oppose, Oppose","Oppose, Support","Oppose, Neither","Neither, Neither",,,"Oppose, Oppose, Oppose, Support, Oppose, Neither, Neither, Neither, "
194,3,"Oppose, Oppose","Neither, Neither","Oppose, Support","Neither, Neither",,,"Oppose, Oppose, Neither, Neither, Oppose, Support, Neither, Neither, "
195,3,"Support, Oppose","Oppose, Neither","Support, Neither","Support, Oppose",,,"Support, Oppose, Oppose, Neither, Support, Neither, Support, Oppose, "
196,3,"Support, Oppose","Support, Oppose","Support, Oppose","Support, Oppose",,,"Support, Oppose, Support, Oppose, Support, Oppose, Support, Oppose, "
197,3,"Support, Neither","Neither, Neither","Oppose, Neither","Support, Neither",,,"Support, Neither, Neither, Neither, Oppose, Neither, Support, Neither, "
198,3,"Support, Oppose","Oppose, Neither","Support, Oppose","Support, Oppose",,,"Support, Oppose, Oppose, Neither, Support, Oppose, Support, Oppose, "
199,3,"Support, Oppose","Neither, Support","Support, Oppose","Neither, Oppose",,,"Support, Oppose, Neither, Support, Support, Oppose, Neither, Oppose, "
200,3,"Neither, Neither","Neither, Neither","Neither, Neither","Neither, Neither",,,"Neither, Neither, Neither, Neither, Neither, Neither, Neither, Neither, "
201,4,"Support, Neither","Support, Neither","Support, Neither","Oppose, Neither","Support, Neither",,"Support, Neither, Support, Neither, Support, Neither, Oppose, Neither, Support, Neither"
202,4,"Neither, Neither","Neither, Neither","Neither, Neither","Oppose, Support","Neither, Support",,"Neither, Neither, Neither, Neither, Neither, Neither, Oppose, Support, Neither, Support"
203,4,"Support, Oppose","Support, Oppose","Support, Neither","Support, Neither","Support, Neither",,"Support, Oppose, Support, Oppose, Support, Neither, Support, Neither, Support, Neither"
204,4,"Support, Neither","Support, Neither","Support, Neither","Support, Neither","Oppose, Neither",,"Support, Neither, Support, Neither, Support, Neither, Support, Neither, Oppose, Neither"
205,4,"Oppose, Support","Support, Neither","Oppose, Neither","Neither, Neither","Oppose, Neither",,"Oppose, Support, Support, Neither, Oppose, Neither, Neither, Neither, Oppose, Neither"
206,4,"Support, Neither","Support, Neither","Neither, Neither","Support, Neither","Support, Neither",,"Support, Neither, Support, Neither, Neither, Neither, Support, Neither, Support, Neither"
207,4,"Support, Oppose","Support, Oppose","Oppose, Support","Support, Oppose","Support, Oppose",,"Support, Oppose, Support, Oppose, Oppose, Support, Support, Oppose, Support, Oppose"
208,4,"Neither, Support","Neither, Oppose","Support, Oppose","Neither, Oppose","Neither, Neither",,"Neither, Support, Neither, Oppose, Support, Oppose, Neither, Oppose, Neither, Neither"
209,4,"Support, Neither","Support, Neither","Oppose, Neither","Neither, Neither","Support, Oppose",,"Support, Neither, Support, Neither, Oppose, Neither, Neither, Neither, Support, Oppose"
210,4,"Support, Neither","Support, Neither","Support, Neither","Support, Neither","Support, Neither",,"Support, Neither, Support, Neither, Support, Neither, Support, Neither, Support, Neither"
211,4,"Oppose, Support","Oppose, Support","Neither, Oppose","Oppose, Support","Oppose, Support",,"Oppose, Support, Oppose, Support, Neither, Oppose, Oppose, Support, Oppose, Support"
212,4,"Support, Neither","Oppose, Neither","Oppose, Neither","Neither, Neither","Neither, Neither",,"Support, Neither, Oppose, Neither, Oppose, Neither, Neither, Neither, Neither, Neither"
213,4,"Oppose, Neither","Support, Oppose","Support, Neither","Support, Neither","Support, Neither",,"Oppose, Neither, Support, Oppose, Support, Neither, Support, Neither, Support, Neither"
214,4,"Support, Neither","Oppose, Neither","Support, Neither","Support, Neither","Oppose, Support",,"Support, Neither, Oppose, Neither, Support, Neither, Support, Neither, Oppose, Support"
215,4,"Oppose, Oppose","Neither, Neither","Oppose, Oppose","Oppose, Support","Neither, Support",,"Oppose, Oppose, Neither, Neither, Oppose, Oppose, Oppose, Support, Neither, Support"
216,4,"Neither, Oppose","Neither, Oppose","Neither, Neither","Neither, Oppose","Neither, Neither",,"Neither, Oppose, Neither, Oppose, Neither, Neither, Neither, Oppose, Neither, Neither"
217,4,"Oppose, Support","Oppose, Support","Support, Oppose","Oppose, Support","Oppose, Oppose",,"Oppose, Support, Oppose, Support, Support, Oppose, Oppose, Support, Oppose, Oppose"
218,4,"Neither, Support","Neither, Support","Oppose, Oppose","Neither, Support","Neither, Oppose",,"Neither, Support, Neither, Support, Oppose, Oppose, Neither, Support, Neither, Oppose"
219,4,"Support, Oppose","Neither, Neither","Support, Oppose","Oppose, Support","Support, Oppose",,"Support, Oppose, Neither, Neither, Support, Oppose, Oppose, Support, Support, Oppose"
220,4,"Oppose, Support","Oppose, Support","Oppose, Support","Oppose, Support","Oppose, Support",,"Oppose, Support, Oppose, Support, Oppose, Support, Oppose, Support, Oppose, Support"
221,4,"Neither, Support","Oppose, Neither","Oppose, Support","Oppose, Neither","Oppose, Support",,"Neither, Support, Oppose, Neither, Oppose, Support, Oppose, Neither, Oppose, Support"
222,4,"Oppose, Support","Oppose, Oppose","Oppose, Support","Oppose, Support","Oppose, Support",,"Oppose, Support, Oppose, Oppose, Oppose, Support, Oppose, Support, Oppose, Support"
223,4,"Support, Oppose","Neither, Neither","Support, Oppose","Neither, Neither","Support, Oppose",,"Support, Oppose, Neither, Neither, Support, Oppose, Neither, Neither, Support, Oppose"
224,4,"Oppose, Support","Support, Oppose","Oppose, Support","Oppose, Support","Oppose, Support",,"Oppose, Support, Support, Oppose, Oppose, Support, Oppose, Support, Oppose, Support"
225,4,"Neither, Oppose","Support, Neither","Oppose, Oppose","Neither, Neither","Support, Oppose",,"Neither, Oppose, Support, Neither, Oppose, Oppose, Neither, Neither, Support, Oppose"
226,4,"Support, Oppose","Oppose, Neither","Oppose, Neither","Support, Oppose","Support, Oppose",,"Support, Oppose, Oppose, Neither, Oppose, Neither, Support, Oppose, Support, Oppose"
227,4,"Neither, Neither","Neither, Support","Oppose, Neither","Support, Neither","Neither, Neither",,"Neither, Neither, Neither, Support, Oppose, Neither, Support, Neither, Neither, Neither"
228,4,"Support, Oppose","Oppose, Neither","Support, Oppose","Oppose, Neither","Support, Oppose",,"Support, Oppose, Oppose, Neither, Support, Oppose, Oppose, Neither, Support, Oppose"
229,4,"Support, Neither","Neither, Neither","Neither, Neither","Support, Neither","Support, Neither",,"Support, Neither, Neither, Neither, Neither, Neither, Support, Neither, Support, Neither"
230,4,"Support, Neither","Oppose, Neither","Oppose, Neither","Support, Neither","Support, Neither",,"Support, Neither, Oppose, Neither, Oppose, Neither, Support, Neither, Support, Neither"
231,4,"Support, Oppose","Support, Oppose","Support, Oppose","Neither, Neither","Support, Oppose",,"Support, Oppose, Support, Oppose, Support, Oppose, Neither, Neither, Support, Oppose"
232,4,"Oppose, Neither","Oppose, Neither","Oppose, Oppose","Support, Neither","Neither, Neither",,"Oppose, Neither, Oppose, Neither, Oppose, Oppose, Support, Neither, Neither, Neither"
233,4,"Support, Oppose","Support, Oppose","Support, Oppose","Support, Oppose","Neither, Neither",,"Support, Oppose, Support, Oppose, Support, Oppose, Support, Oppose, Neither, Neither"
234,4,"Neither, Oppose","Neither, Support","Neither, Oppose","Support, Oppose","Neither, Oppose",,"Neither, Oppose, Neither, Support, Neither, Oppose, Support, Oppose, Neither, Oppose"
235,4,"Oppose, Support","Oppose, Support","Oppose, Support","Oppose, Support","Support, Oppose",,"Oppose, Support, Oppose, Support, Oppose, Support, Oppose, Support, Support, Oppose"
236,4,"Support, Oppose","Oppose, Neither","Support, Oppose","Support, Neither","Support, Neither",,"Support, Oppose, Oppose, Neither, Support, Oppose, Support, Neither, Support, Neither"
237,4,"Neither, Oppose","Neither, Neither","Neither, Neither","Support, Oppose","Support, Oppose",,"Neither, Oppose, Neither, Neither, Neither, Neither, Support, Oppose, Support, Oppose"
