prompt,completion,preds
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Don't you someday want to see a well qualified candidate by the president of the United States? #ReflectingHillary
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""It's Monday night,do you know where your Hillary supporters are? In Rock Hill at our Amazing Phone bank! Come join!HillaryforSC
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Hillary has sacrificed more Ambassadors, told more lies, hid and destroyed more evidence... The beat goes on,,, @McSadie
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@asphaultangel13 Afterall, they're just a poor black family trying to pay the bills!  @crousselle #WhyImNotVotingForHillary #TCOT
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Hillary can't create jobs! Last time she had a job to do, she outsourced it to Monica Lewinsky.
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Didn't take long for Clinton lackey @PaulBegala to play the ""crazy"" card. So predictable
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@HillaryforNV Many thanks for the follow!
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""If it's been 80+ days since you've done an interview,  can we assume you're not really running for president?
""""""
","Clinton, None","Trump, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@DesireeAaron @HillaryClinton  Sheets Clinton Ya got to love it #HillaryonCNN #HillaryClinton
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@AdamSmith_USA Nice video. GOOD Luck WITH it.
""""""
","Clinton, None","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@josephbenning I agree, these are better than what you had before, like a severe cold is better than pneumonia. Good luck.
""""""
","Clinton, None","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@AndreaTantaros Clinton privilege transcends white privilege, rock star privilege, NFL privilege & intergalactic alien privilege.
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@CBSThisMorning Emails missing and incomplete? Who'd of thunk it?  I'M ABOVE THE LAW and the rest of you peons! JUST TRUST ME!
""""""
","Clinton, Against","Trump, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""'Hilary is not electable' then you stand no chance @realDonaldTrump #carnivalbarker
""""""
","Clinton, Against","Trump, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@HillaryClinton End lawless #ClintonFoundation. Jail Butcher of #Benghazi. #Arrest rapist #BillClinton. #HillaryClinton
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Dad while watching the news:  Politics is just show business for ugly people #HowAboutNo
""""""
","Clinton, None","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@NatureGuy101 @MaryMorientes   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""SO ANYWAYS WHAT DID HE SAY? ANYTHING ABOUT VOTING FOR ME? #OBAMA #ISIS #ISIL
""""""
","Clinton, None","Obama, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""The federal government did not create the states, the states created the federal government. Ronald Reagan #Federalism
""""""
","Clinton, Against","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Donald Trump is a joke. His a simpleminded idiot, and I have nothing else to say about him. He can go FUCK him self.
""""""
","Clinton, None","Trump, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Our Queen City is currently infested w/ out-of-state plate Priuses driven by millennials w/ Hillary bumper stickers. #MHT
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Today's number is 8! That's how many years old Jesus was when he learned to ride a bike!  Pretty cool dude! #USWNT #proudmom
""""""
","Clinton, Against","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@tedcruz won't be there. I'm supporting @HillaryClinton for President. #lgbtrights #ACAWorks
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""If I get killed. Thank @realDonaldTrump . I was tweeting mad crap about him.  I don't take it back.
""""""
","Clinton, None","Trump, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""U Missouri at KC got Chelsea caus Hils cost too much. Chels could arrive w/ mom - no xtra charge. @HillaryClinton
""""""
","Clinton, Against","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@Jami_USA I'm just hoping we don't have to resurrect the no H8 for Hillary's second term.
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@CNNPolitics @PoliticalAnt @moody this is beautiful #oops
""""""
","Clinton, None","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

"""""".@HillaryClinton What's the ambient temperature in #Hell today? Use that as a guide! 
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Hillary flew on private jet to speak to speak about Income & Equality. Dinner plates were $2700.00 ! #EqualityForAll #PJNET #CCOT
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@realDonaldTrump has my vote! The truth will set you free and we need transparency in Washington now more than ever!
""""""
","Clinton, Against","Trump, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@thehill : Women deserve a better candidate for the HIGH HONOR if first woman President: We ALL do! #WhyI'mNotVotingForHillary
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@ZekeJMiller @BretBaier @danmericaCNN  How could anyone vote for that woman? 
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""SCOTUS dealt a blow to Hillary Clintons last campaign 'promise'... What is she running on now? Corruption, lies, and deceit.
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@msnbc @Lawrence @JoeBiden @SenSanders  we love Joe and Bernie--but they ARE too OLD--they would end up a #OneTerm President
""""""
","Clinton, Against","Joe Biden, Against, Bernie Sanders, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""#Hillary's still very weak among grassroots - as shown by how strong #BernieSanders got how fast on how little. @AaronBlakeWP
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@TheDemocrats @DNCWomen I'm down to help for 2016 election.
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""The press needs to get out of the way so the peasants can get a glimpse of her Highness. #morningjoe 
""""""
","Clinton, Against","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@ReformedBroker ""to da honies gittin money playing #bleep words like dummies"" #POPPA
""""""
","Clinton, None","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Gwen being a good leader and training a new volunteer in rock hill.! #FellowsSC #HillaryForSC
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@CNN and CNN proved they are not a legitimate news organization by not calling her out about all her lies. #JournalismIsDead
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@HillaryClinton The deceit hand? Thats a hand you know well. Right?
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Ok now Latino are deciding who is going to be president of the US #Jeb2016 #DonaldTrump #Sanders2016 #
""""""
","Clinton, Against","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Can anyone name the jobs #HillaryClinton has been responsible for creating.. Even her security is an entitlement...
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Too many women in too many countries speak the same language ¢´ ´Ó of silence. HILLARY CLINTON #HillaryCliton #Hillary4Women
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@HillaryClinton is opening 10 more offices in Iowa this week.  She's not playing around! #iacaucus
""""""
","Clinton, Against","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@Ba68scgal The guy w/ the #Benghazi sign has guts Loveit #NoHillary2016
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@17leete17 hahaha. He is some kind of special..  this is why Hillary's going to win! Hahaha.
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Pundits say Jim Webb facing uphill battle with Hillary.  Really, it's with Bernie for the anti-Hillary vote.  #JimWebb
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@BDabs888 let's go shoot your now today.
""""""
","Clinton, None","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Very simple: the Clinton's are corrupt.
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@JewboyDonny oh I know he won't he effed himself over in the beginning 
""""""
","Clinton, None","Trump, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Hillary needs to go to a Sheetz gas station after 10 pm to see the real America.
""""""
","Clinton, Against","Clinton, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

"""""".@HillaryClinton Looking 4ward 2 hearing your Economic Agenda on Monday July13. WOW a candidate talking Specifics & not Rhetoric!
""""""
","Clinton, Favor","Clinton, Favor"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@HillaryforNH will u rope off the people too Hillary swine?  #uppers #uniteblue
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@megynkelly Hahahaha combed through emails!!! Bunch of scumbags!!! #NoHillary2016
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""'Hillary-speak' campaign rhetoric is going to be the death of me. @jmarkwalk
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@betheljd Thanks for the follow David, may God bless you and your family.  #freeallfour
""""""
","Clinton, None","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""I think it's funny people think Bernie can take on Hillary and Bill
""""""
","Clinton, Favor","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""Hillary can't use a fucking fax machine but you idiots are going to vote for her to be President? 
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@RedStateJake ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #WakeUpAmerica #StopHillary2016
""""""
","Clinton, Against","Clinton, Against"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@therealjenappel IM HIGH ON HASHTAGS RIGHT NOW I CANT HELP MYSELF #mypresident
""""""
","Clinton, None","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""@jhewitt1280 @SpeakerBoehner @HouseBenghazi @TGowdySC What her emails? They released the rest all very boring.
""""""
","Clinton, Against","None, None"
"This statement contains a TARGET and a STANCE. The target is a politician and the stance represents the attitude expressed about them. The target options are Trump or Clinton and stance options are Favor, Against or None. Provide the answer in the following format: {TARGET, STANCE}

""""""I feel confident that @HillaryClinton will win  in 2016.
""""""
","Clinton, Against","Clinton, Favor"
