prompt,completion
"So @HillaryClinton received a Subpoena to Testify & She ignored it! Is Hillary above The Law Now? 
"," Clinton, Against
"
"My mom just told me she and my aunt want to volunteer on @HillaryClinton's campaign! I support it!
"," Clinton, Favor
"
"@readyforHRC @HillaryClinton  Support encourage #HillaryClinton president #UnitedStates world is success of women in  world
"," Clinton, Favor
"
"#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders
"," Clinton, Against
"
"The white male vote is solidly GOP. The black vote is solidly DEM.  That leaves white females and brown ppl. #FeelTheBern
"," Clinton, Against
"
"Wouldn't be surprise that it comes to light that Chelsea's husband cheats on her. #HillaryClinton
"," Clinton, Against
"
"HRC is delusional in addition to being a pathological liar.  1%er to the extreme. 
"," Clinton, Against
"
"you can't bitch at me for donating to Dems.  Only way to get business done with them is to grease the skids #bribe #paytoplay
"," Clinton, Against
"
"Hillary's New Campaign slogan is:  HILLARY - NOTHING TO HIDE BUT THE TRUTH!  #tcot #WakeUpAmerica
"," Clinton, Against
"
"Wouldn't be surprise that it comes to light that Chelsea's husband cheats on her like her Bill did on Hillary. #HillaryClinton
"," Clinton, Against
"
"Support #independent #BernieSanders because he's not a liar. #POTUS #libcrib #democrats #tlot #republicans #WakeUpAmerica
"," Clinton, Against
"
"@HlLLARY @ToniforAsm Hillary for Prez = Obama's third term and that's the last thing we need!!
"," Clinton, Against
"
"@dougshelton749 @realDonaldTrump  #HRC would be an even bigger threat to America than #Obummer.   #WakeUpAmerica
"," Clinton, Against
"
"@frodofied SO? THt will NEVER erase their support of DOMA & silence on #LGBT #LGBTQ rights until it is politically aventageous.
"," Clinton, Against
"
"RT @NicolaSturgeon: ""It's official: Hillary's running for president,"" says her campaign chief. Excellent!
"," Clinton, Favor
"
"I called everyone I knew and raised $17,000 from ex-boyfriends - Sen. Klobuchar
"," Clinton, None
"
"March 8, 2016 Ohio is holding our Primaries! The date is subject to change. #Ohio #OurChampion
"," Clinton, None
"
"@sunbeltgirl @9975Ts @bobwilsonn ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #StopHillary2016
"," Clinton, Against
"
"@TIMENOUT  ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #WakeUpAmerica #StopHillary2016
"," Clinton, Against
"
"I am having a really tough time seeing any leaders running for POTUS, quess I will have to wait and see what happens.
"," Clinton, None
"
"Hopefully Hillary Clinton gets cancer and dies before she gets the opportunity to embarrass our country any further. #july4th
"," Clinton, Against
"
"Sorry, Hillary's new normal folk image doesn't take away from Behgnazi & her 0 foreign policy successes as Secretary of State.
"," Clinton, Against
"
"@HillaryClinton Hillary is a Directioner! This is awesome! :-) They need to sing at your Inauguration!
"," Clinton, Favor
"
"RT @FutureTXLeader: Is everyone in #ElPaso #Texas ready for president #MarcoRubio #UTEP #NewAmericanCentury #2016 #Future #Rub...
"," Clinton, Against
"
"@HillaryforIA come on, Iowa! For better USA and the ROW
"," Clinton, Favor
"
"Free market capitalism is America's best friend because of constant pressure to innovate & use resources efficiently.
"," Clinton, Against
"
"@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary
"," Clinton, Against
"
"I just want my dog to stop eating the trash
"," Clinton, None
"
"I can vote in 2016 after all ayyyyyyyyyy
"," Clinton, None
"
"So excited to hear @HillaryClinton speak here at @dartmouth in #Hanover #HillaryinNH @HillaryforNH
"," Clinton, Favor
"
"The recent comments of #HillaryClinton sounded like it was #Netanyahu speaking. Doesn't bode well.
"," Clinton, Against
"
"@GovtsTheProblem This is what I see: Make way 4 ur queen peasants! Don'ttouch or talk 2 her U filth! #NoHillary2016 #Benghazi 
"," Clinton, Against
"
"@BadgerGeno @kreichert27 @jackbahlman Too busy protesting :) #LoveForAll #BackdoorBadgers
"," Clinton, None
"
"So over 20 million government employees got their private info stolen. Has anyone checked @HillaryClinton server?  #2016 #Fail
"," Clinton, Against
"
"@rebeccalipson  #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia
"," Clinton, None
"
"BIG BOOTY BITCHES BIG BIG BOOTY BITCHES
"," Clinton, Against
"
"Despite today's ruling, our struggle to end LGBT discrimination is also far from finished - @HillaryClinton #VirginiaJJ
"," Clinton, Favor
"
"@koolkat14215 Haha, I LOVE your header!
"," Clinton, None
"
"@AnitaFinlay @politico Hillary's doing the right thing -- staying focus on her campaign.
"," Clinton, Favor
"
"@ChelseaClinton @HRC Do you stand for #BillClinton assaulting teen girls too? #ReadyForHillary #HillaryClinton #Clinton2016
"," Clinton, Against
"
"I'm on the edge of my seat to start volunteering for @HillaryClinton 's presidential campaign!  So excited!!  #cantwait
"," Clinton, Favor
"
"@USATODAY @HillaryClinton how about finding her a #pathtoJAIL #DONOTPASSGO do collect any Any more of #WeThePeople s
"," Clinton, Against
"
".@DavidLimbaugh - agree put it back.. But I have a feeling it won't go away.. It will keep coming back!
"," Clinton, Against
"
"@HillaryClinton R U desperate or what? 3rd Hillary tweet on my timeline 2day. NOT gonna vote 4 U!
"," Clinton, Against
"
"@HillaryClinton lies just for the fun of it, its CRAZY!!!!! #NoHillary #WhyImNotVotingForHillary
"," Clinton, Against
"
