page,Clinton,Trump,prompt
Clinton," None
"," None
",P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e P e
Clinton," None
"," None
","Republicans have two eyes and one brain also. However, their mouths have been stuff with money from wealthy donors who believe it is in their best interest to pollute the environment with CO^2."
Clinton," Against
"," None
","HILLARY IS RIGGING THE ELECTION! Surprised? You shouldn't be. We've just learned that Hillary is tied to the one company that has the power to sway this entire election â Smartmatic. Smartmatic manufactures the voting machines that will be used this November. The Chairman of Smartmatic, Mark Malloch-Brown, is on the board of George Soros' Open Society Foundation. Yes, George Soros, the billionaire CROOK who is one of Hillary's biggest donors. SMARTMATIC'S VOTING MACHINES WILL BE USED IN THESE 16 CRUCIAL STATES: Arizona California Colorado District of Columbia Florida Illinois Louisiana Michigan Missouri New Jersey Nevada Oregon Pennsylvania Virginia Washington Wisconsin"
Clinton," Against
"," None
","#Bernie2016 ""Eight years ago the experts talked about how another Democratic candidate for president, Barack Obama, couldn't win, how he was unelectable,"" he said ""Well Iowa, I think we're going to prove the pundits wrong again, I believe we are going to make history one more time."" URL"
Clinton," None
"," None
",Hillary needs to start helping this planet by not using single use throw away cups. Ugh.
Trump," None
"," None
","Ryan Munns i guess if you have to pick the best of your two poisons, I really like the second amendment."
Clinton," None
"," None
","I cannot wait for this election to be over. As for the servers and emails, we were ALL told to go to private servers in a memo issued by Homeland Security. The first issue was in 2005. URL"
Trump," Against
"," None
",What's gonna happen to have if Hillary does win and they know we know the system is corrupted
Trump," None
"," Against
","Sad to hear you trust Siilicon Valley. Bill Gates , Depopulation.. via vacciines, I am now confused on who to vote for. :("
Trump," None
"," Favor
",I keep telling you Donald will get the USA back on the right path. He is not a miracle worker but at least he will put us back on the right path again.
Trump," None
"," Favor
",Donald Trump for President of The United States of America!
Clinton," Favor
"," None
",Wisconsin please vote for Hillary!! We need her...Hillary for President!!! The right time and definitely the right Lady!!!
Clinton," Against
"," Against
","Election 2016: It's simple - one candidate says bad things and one candidate does bad things! You need to decide which is worse! Vote 2016 In many people's opinion the media political bias and political distorting of the facts by the news media, their producers and writers are destroying America and is pure propaganda, to keep the establishment powerful in control of the America people and separate them from their hard earned money, to enrich themselves. Many Americas are now calling for the boycott, to effect the pocketbook of all bias and fact destroying media outlets and their corporate sponsors products and political power brokers, which effect the tax payers pocketbook. The effecting negatively the revenue and income of the media and their sponsors, is the only way many people feel is to save America, the national treasure and the America people's pocketbook. Boycotting the politically bias media and their sponsors, which espouse bias views and continue to try to control public opinion, while picking of the pockets of the of the ordinary tax paying American citizen, is the only power the American people have to correct the political and corporate propaganda and mis-justice direct toward the America people. Public ally boycott and denounce all media channels and celebrities that espouse bias and false claims that are misleading the American people, so unbiased and accurate info is provided the people so they can make a informed and good decision about our children's future. Anyone that espouses untrue and false information is not your friend and is a just a liar typically for their own personal gain in most instances. If you agree join the growing American people's grassroots movement, to stop corporate and media bias, attempting to control the American citizens for their own personal benefit. Find alternate sources for your news, information where the info is unbiased and accurate. Do your part, by writing your local and national government officials, and demand ""fair and balanced"" reporting and by boycotting the bias and misleading media, their corporate sponsors products. It is imperative that the American people hold accountable the press, media and government officials both using our purchasing power and at the ballot box those that fail to provide and deliver ""fair and unbiased"" reporting of the news, reporting data and facts. Support the movement and do your part by sharing with others and forwarding to your friends and family. Example of the collusion! Is Unbelievable!! 1) ABC News executive producer Ian Cameron is married to Susan Rice, Obama's National Security Adviser. 2) CBS President David Rhodes is the brother of Ben Rhodes, Obama's Deputy National Security Adviser for Strategic Communications. 3) ABC News correspondent Claire Shipman is married to former Obama Whitehouse Press Secretary Jay Carney. 4) ABC News and Univision reporter Matthew Jaffe is married to Katie Hogan, Obama's Deputy Press Secretary. 5) ABC President Ben Sherwood is the brother of Obama's Special Adviser Elizabeth Sherwood. 6) CNN President Virginia Moseley is married to former Hillary Clinton's Deputy Secretary Tom Nides. Etc... etc... Get the global elite picture? Pls share with your family and friends! This very interesting establishment elite, political elite and elite media conflict of interest, bias and interwoven connections does not bode well the typical hard working America. Peggy Noonan WSJ article today ""How Global Elite betray their Countrymen"" helps complete the political, corporate and media collusion and their plans and outlines very well the picture for the future of ordinary American evolving into a third world country controlled and ruled by the elite and establishment class. The regular hard working American appears to not have a chance in this ever increasing rigged establishment powerful and their bought and paid for media and politicians corrupt system. ""De Oppresso Liber"""
Clinton," Favor
"," None
","He Man! Never Mistake Hillary Clinton, Hillary Clinton has dedicated her life for Americans and Mankind. Hillary Clinton is ready to given her life for fighting in battle-field or any activities for protection of Americans and also Mankind. Her all activities are diplomatic activates as Goddess activities and Power. If you follow her philosophical activities and her Doctrines, no fire of sorrow can burn you. Dear Brothers and Sisters never comes same Woman in the World. I am a great follower of Noble Hillary Clinton. I am sure that Noble Hillary Clinton will win minimum80% - 90% vote of American. I pray God bless Hillary Clinton."
Clinton," Against
"," None
",Need to be in an orange jump suit....can't wait until you're indicted...
Trump," None
"," None
",Do us a favor and tell that dick Rubio to shut up.
Clinton," Against
"," None
",Whoops! Caught in another giant web of lies. Hillary is not having a good day.
Clinton," Favor
"," None
",HRC Activist First Lady fought for 8M children to get health coverage
Clinton," None
"," None
",Ø­ÙØ²Ù Ø§ÙØ£Ø³Ø¯Ù ÙÙØ§Ø¨Ø¯ ÙÙØ¬Ø§Ø±Ø­ Ø­Ø²Ø§Ù Ø§ÙØ®Ø¬Ù ÙÙÙØ³Ù ÙØ³ØªØ§Ù Ø§ÙÙØ³Ù ÙÙÙØ­ Ø¹ÙÙ Ø­ÙØ§Ù Ø§ÙÙØ­Ø§ÙÙ Ã
Clinton," Favor
"," None
",You're a Hero. Don't forget that & fight For that White House.
Trump," None
"," Favor
",I don't believe anything the media says that's negative about you. They try to tell us your polls are dropping... they can't stop you :))
Trump," None
"," Favor
",If we are in a tug of war (our foot on the rope..no contest on our side) with the Jeb supporters...and others...they will just have to come on over the line...because we are not moving! Go Trump 2016!!!
Trump," None
"," None
",I have stopped watching Fox News...Drudge Report is my go to!
Clinton," Against
"," None
",You know she is right. Caucasian Americans do need to do a better job of listening to African Americans. That's why my husband was going to vote for BEN CARSON. Oh does she mean only democratic African Americans??? Before you guys get all upset and accuse me of being a trolling republican we are independents. Seriously this white privilege nonsense is only dividing this country. I am of Native American heritage. Do you know how deep the trouble this country would be in if Native Americans started demanding an eye for an eye type justice? She has lost my vote. Thought I was a never Trump but I guess that's where this is heading. I cannot support a candidate that doesn't support our law enforcement.
Clinton," Against
"," None
",Anybody Obama supports I don't want. All he is worried about is being politically correct on every issue and looking good to public figures like athletes. That doesn't get us anywhere...
Clinton," Against
"," None
","If you win, I'm moving to Benghazi. I know you will leave me alone there."
Clinton," None
"," None
",Good by republicons. because of you idiots we almost lost america. Say good by to the congress and the senate. the only thing you all will be doing in the future is issuing out toilet paper in a public restroom.
Clinton," Against
"," None
",URL this is what your fight for the right to slaughter babies. This is pure evil hidden in false righteousness.
Trump," None
"," Favor
",I'm definitely voting for Trump...he loves our country and will do positive things to really make it great again!
Trump," None
"," Favor
","Trump you got my vote, but don't go this way about George Bush. There was weapons of mass destruction, found later, Bush was right."
Clinton," None
"," Against
","Yes, stop Donald Trump, but don't stop him NOW. Help him win the GOP nomination so that beating him in November does the maximum damage to that party, and stop opposing him in the primary, which is only helping Senator Cruz (a prospect of a *much* worse outcome than Trump.)"
Trump," None
"," None
","They're hacking they knew he had close to 100,000 people listening now it's down to 50 something thousand bunch of dogs"
Clinton," None
"," None
","I wrote a piece the other day about how politicians photoshopped posies over the victims of terrorist attacks. This trend may have seen its peak under Obama, but other politicians are taking up that habit. I'm here to tell the truth, even when they won't. . I will give you some examples of those photoshopped posies: The victims of Muslim terrorist attacks have had their deaths cheapened and the horror of them reduced to 'workplace violence' or they are just victims of 'radicalized Islam.' Their victimization, the fear and terror of their slaughter has been Politically Corrected, and Americans bought it. You know what else those posies did? They made it seem that The Rest of Us were not in any danger from a similar attack. Well, we all know the truth of that. We all know we think about such things when we are in the midst of large crowds or perhaps, when we are crossing a long and crowded bridge. . Slap a posy over illegals! They are now forgiven for breaking our border laws with the new label of 'Dreamers' or 'Undocumented Workers' (never mind that many aren't working; never mind that many are on welfare; never mind that some of those Dreamers are attacking American Citizens; never mind that some of them are trying to claim this territory belongs to them.) . If you make any noise about any of those things, you are silenced by new labels; you are a 'racist' or a 'xenophobe' or, God forbid, a 'Christian Conservative.' . If you are not supporting Hillary, you are a 'sexist'; it couldn't POSSIBLY be that you know her record of incompetence and lying, right? . If you aren't supporting Bernie, you are a 'greedy capitalist' who doesn't CARE about the poor. (Never mind that this country has been providing for the poor with our welfare programs for decades, with other programs during the Great Depression, with soup kitchens and food pantries in nearly every community. Never mind that we have ALWAYS given medical treatment to those who couldn't pay; never mind that very few people in this nation have EVER starved to death, because no one cared about them.) . We are making Political Correctness as extinct as the Tyrannosaurus it is; it became a devouring monster that ate up every bit of Common Sense we once had. Well, Friends, the seeds of Common Sense have once again been sown, and I'm here to report the crop is flourishing and growing; it is, in fact, making certain politicians look as fake and silly and stupid as those photoshopped posies they've used to silence us."
Clinton," Against
"," None
","Now making your minion, Ms Palmieri go out and lie for you. She needs to quit to regain her dignity"
Trump," None
"," Favor
",Trump is always a class act with our Police Officers.
Trump," None
"," None
",That's what it takes to avoid paying as much as possible
Clinton," Favor
"," None
",I am not an American but am praying that you will win. Am with you in your journey. God bless.
Trump," None
"," Against
",Yes bomb the oil fields ! Wth are you talking about? The saudi oil fields ? Where would you have put the first bombs
Clinton," Favor
"," None
",Www.splitttpersonality.com Artist for Hillary Clinton@!! I am in
Trump," None
"," Against
","You are a total disgrace, as father and son; both are an embarrassment to this country and a joke. They're both ignorant and stupid."
Clinton," Against
"," None
",Give a man a fish and you feed him for a day. Teach a man to fish and you feed him for a lifetime. Promise a man SOMEONE ELSE'S fish each day and you create a lifelong Democrat voter.
Trump," None
"," Favor
",Make sure if you are not registered in the Republican Party please do so. It is easy to change. Call your local election board or go online with them.That way you can vote in the primary for Mr. Trump. If he doesn't get the nomination it is over and we cannot afford to let that happen.
Clinton," Favor
"," None
","Thank you for your service, Mr. President! Go Hillary!! #imwithher ð"
Trump," None
"," Against
",Sadly Trump actually has a good chance of winning the election cause so many Americans are simple minded idiots
Trump," Against
"," None
",why did Hillary not have to answer the question about her husband??????????????
Trump," None
"," Favor
",Trump to save this country before its to late trump 2016
Clinton," Favor
"," None
",LATINOS AYUDEN @ ESTA MUJER!!! PARA Q_ PASE PARA LA CASA BLANCA!!! ELLA TIENE TODA LA INTELIGENCIA NECESARIA PARA AYUDARLES @ TODOS USTEDES!!! ELLA TIENE MUCHA HUMANIDAD!!! ELLA TIENE RESPETO POR IGUAL POR TODO SER HUMANO!!! PONGAN SU VOTE EN ELLA!!! ELLA PONDRA SU AYUDA!!! ___ (Y)
Trump," None
"," None
","His war must be by appointment, leaflet dropping before bombing and of course those stealth liberals & media's militia!!!!!!!!"
Clinton," Against
"," None
","Her husband is a womanizing pervert who embarrassed her and their daughter and she posts this, the woman has no shame"
Trump," None
"," None
",I love this chit.... Coming from our great leader... He be talking out the OTHER side of his mouth now.... Hopefully America is truly watching... You can't make this stuff up....!!!
Trump," None
"," Favor
","The only man that will give it his all to save this country, Donald Trump."
Clinton," None
"," None
",NO NO NO NO NO NO NO NO NO JUST NO.
Clinton," Favor
"," None
","Excelente noticia! Somos mayorÃ­a los que queremos una presidenta de todos y para todos! Vamos, Hillary!"
Clinton," Against
"," None
",". â¢ C A N ' T Y O U S E E ? â¢ . If you can't see evil and malice in her eyes, falsehood and hypocrisy in her smile and malevolent intentions in her words is because the darkness of your heart is blinding you. Hillary's Clinton hatred is the seed of weeds that will be irrigated throughout this nation as a vicious and malignant cancer. Hillary not only suffers a physical illness. She suffers the worse disease than a human being can ever suffer. Hillary Clinton is spiritually sick. American people, regardless your religion, this is the time to pray and get closer to our Heavenly Father. May God be with us. Lord, into your hands we commit our nation. - A M E N -"
Clinton," Against
"," None
","I did not vote for HRC today. She gave me plenty of reasons why not to vote for everyone else, but failed to provide a platform or details on her plans that told me how she would get anything done. You are not entitled to be president just because you have put in the time as a politician, you earn votes."
Trump," None
"," None
",I'm happy to see people on here from California wow so many!
Trump," None
"," None
",I have to say Mr Trump it has been my pleasure getting to know ur family and I believe children are our true testament to life ;-)
Trump," None
"," None
",We certainly need somethimg To keep us safe Obamas not doing anything if he hates the us and white people why doesn't he go back to Kenya
Trump," None
"," Favor
",HURRAH for Donald Trump who wants to SAVE & REBUILD USA!!!
Clinton," Against
"," Favor
","This just screams... Desperation... If she is elected, prison is in her future and another 4 years of Obama if she is sent to prison before being sworn in.. seals this countries gloomy fate... DRAIN THE SWAMP!!"
Trump," None
"," None
","An illegal killed 2 beautiful children in our town,Manahawkin, New Jersey years ago ! Why, they don't know! Get rid Of them! They don't respect our rules, laws, or what our country stands for!"
Trump," None
"," None
",Guns don't kill people. People kill people. Guns should never be attacked the reason we are a free country is because of guns look at the world.
Clinton," Against
"," None
","The Donald Trump versus Hillary Clinton debate delivered a spectacle with valid criticisms of both candidates. What caused my unmitigated revulsion more than a ninety minute harangue between a smug woman and a flailing man passing as a test of presidential fitness? The obvious media bias and simultaneous protection of Clinton by the Federal Bureau of Investigation (FBI) and the Department of Justice (DOJ). Lester Holt never asked Clinton questions about the immunity deals given to five of her top aides in the email scandal, the huge speaking fees paid to her husband during her tenure as Secretary of State, or the pay for play allegations against her family foundation accepting millions of dollars from foreign governments while she served as the nation's top diplomat. Those are legitimate questions the public deserves to have answered by a presidential candidate. The day after the debate, FBI Director Comey struggled in testimony on Capitol Hill to justify the limited immunity given to Cheryl Mills, Clinton's chief of staff at the State department. Mills is one of two lawyers who, inexplicably, were allowed to accompany Clinton to her FBI interview despite being witnesses, potential co-conspirators and recipients of limited immunity deals. Comey's unconvincing defense is they wanted access to Mills' laptop computer. They could have obtained it through search warrant or subpoena. Through granting the immunity, they agreed none of the information on Mills' computer could be used against her. This is one fact among many that demonstrates the FBI investigation of Clinton was anything but fair and impartial. The clear protection of Clinton by this Administration together with Holt's failure to ask any questions about the numerous scandals nipping at Clinton's heels like a neurotic border collie herding sheep infuriates me. Holt riddled Trump with pointed questions on the birther issue, his tax returns, stop and frisk, and his position on the Iraq war. Fair enough. Holt then fact-checked Trump and Holt's facts were misleading any way you look at it. Stop and frisk has not been declared unconstitutional, Trump's nuanced answer was much closer to the truth than Holt's blanket assertion. Trump's alleged support of the Iraq war is based on one offhand radio show comment made while he was a citizen. Senator Clinton voted for the war and, judging from her ardent push to overthrow Gaddafi in Libya, learned nothing from her mistake. Trump exploited the birther issue started by Clinton supporters in her 2008 campaign against Obama. The voters know that and can make up their minds on how important it is. Holt pressed Trump on releasing his tax returns because detractors claim he may be hiding information, why not ask Clinton about the willful destruction of emails under subpoena where undisputedly information was destroyed? You don't have to be a Trump supporter to be disgusted by a national debate conducted with such glaring bias against one candidate. Or to be enraged by Holt's failure to ask hard questions of Clinton, the only presidential candidate in history to be under FBI investigation. It is far more than Clinton's blatant deceptions that outrage me, it is the fact that they go unchallenged during a televised debate. Whatever you think of Trump, his alleged sins haven't undermined the public's faith in the FBI, the DOJ and the press. Clinton's corruption and deceit have destroyed the reputations of the FBI, the DOJ and, Monday night, shattered any remaining legitimacy of the mainstream press."
Trump," None
"," Favor
","Happy Labor Day! Many are blessed and grateful to have a job today, and there are many who would love to have a job, any job. So, I just want to say that I am thankful for my job so that I can earn a living for myself and my family, and for those of you who do not have a job right now, I am Voting for Trump so that you will have one."
Trump," Against
"," Favor
","Thank you Donald, I know this has been a hectic race, and all the travel is very tiring, not to mention having to stand against all the evil people fighting you, and twisting your words. Don't stop now, you are nearly there, Mr. President !!! The people of this nation need your help. Stop hillary !!! Go Trump !!!"
Trump," None
"," Favor
","Stick to the issues DT, their corruption tactics are laughable at this point."
Trump," None
"," Favor
",I missed the 60 minutes show but heard Pelley tried to do a job on Mr. Trump. Glad to hear Mr. Trump held his own with the idiot that tried to make him look bad. I would not trust anything the news people say anymore. Used to be a time back in the day you could actually believe the news .....not anymore.
Trump," Against
"," None
",Delusional crazy woman lives in her own little world. My nonprofessional psych evaluation
Clinton," None
"," None
",Research before you vote. Ask important questions about the record of each candidate. Don't swallow the corporate medias bate. Have a nice day! URL
Clinton," None
"," None
","Dear Hillary , you are straining your voice, employ a voice teacher who can teach you how to save your vocal cords."
Trump," None
"," None
",GOD BLESS AMERICA. GOD BLESS ALL OF US WHO WANT TO TAKE OUR COUNTRY BACK FROM SCUM THAT STEAL OUR MONEY AND SEND OUR JOBS OVER SEAS. THAT USE OUR MILITARY THEN THROW THEM TO THE DOGS..
Clinton," None
"," None
",we do however need to seriously reform the tpp and nafta he's right about that-
Trump," Against
"," Favor
",We care about this country! He does too! Please try to get more votes for him. Our lives literally depend on keeping Killary out of the WH and out of our government!
Clinton," Favor
"," None
","La seÃ±ora Hilary sin lugar a dudas serÃ¡ la prÃ³xima presidenta de los Estados Unidos, por su gran capacidad de trabajo contarÃ¡ con la mayoria absoluta del voto estadounidense y latino..."
Clinton," None
"," None
",Wonderful too see these two enjoying life. They are a great couple.
Clinton," None
"," Favor
","Millions of trump supporters feel this way about Donald J. Trump.....""We don't care if the guy swears... or how many times he's been married...or who he voted for, or what his income tax return shows. We want the problems fixed. Yes he's an egomaniac, but we don't care. We know he's not a racist, or bad to women, or all the other things the liberal media is trying to label him with. We know he's raised a good family, and that says a lot about him. The country is a mess because politicians suck, the Republican Party is two faced & gutless, and illegals are everywhere and Muslims are openly trying to hurt this country and make the civilized world adjust to them. We want it all fixed! We don't care that Trump is crude, we don't care that he has changed positions, we don't care that he fights with Megan Kelly, Rosie O'Donnell, and so many of the elected establishment. We don't care that Rubio, Cruz, Ryan, the Bush's, and so many other top old and new Republicans refuse to endorse him for their own selfish reasons, and we know what they are. We don't care that he doesn't know the name of some Muslim terrorists, we don't care that he tried some businesses that didn't work out. This country is weak, bankrupt, our enemies are making fun of us, we are being invaded by illegals, we are becoming a nation of victims, where every Tom, Ricardo and Hasid is a special group with special rights to a point where we don't even recognize the country we were born and raised in, AND WE JUST WANT IT FIXED. And TRUMP is the only guy who seems to understand what the people want. We're sick of politicians, sick of the Democratic and Republican Party. We're angry about the Iran deal, the budget, treatment of Israel, military weakness, lobbyists, special interests, overpaid politicians with their self serving bills and back room deals, trade deals, loss of jobs, manipulated economic numbers, businesses fleeing, and even the phoney pay for play Clinton Foundation. Americans are no longer going to be fooled, and the movement is out to change the direction we're taking. Trump may not be a saint, but he doesn't have lobbyist money holding him, he doesn't have political correctness restraining him, and all you know is that he has been very successful, a good negotiator, he has built a lot of things, he's flexible, and he's also not a politician. And he says he'll fix it. And we believe him because he is too much of an egotist to be proven wrong or looked at and called a liar. Public service has become elected greed. This may be our only chance to have a non-politician, despite his flaws, try and correct the mess, at least for 4 years. We must take the shot, because the consequences of putting Hillary Clinton in office are frightening. There is a tidal wave happening, and its going to overcome much of what's happened to this country."
Clinton," Favor
"," None
","President Bill Clinton was a big supporter of Angiel, he wanted her to win the battle against cancer. Unfortunately Angiel just passed away, however, she is a big supporter of Hillary and she knows she will be the next president of USA even though she won't be their to celebrate. Please see attached link URL"
Trump," None
"," Favor
","Congratulations, But don't let up! Do stop the insults it is not becoming of a PRESIDENTIAL Candidate"
Clinton," Against
"," None
",Hey the American people stupidly voted for your husband twice & you stayed with him knowing his secrets. Stop the hypocrisy please
